STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070101,0,0,0,178,56,43,340,340,72,89,2011,2012
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070102,0,0,0,117,28,28,10,10,67,94,318,330
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070103,0,0,0,144,50,23,40,30,54,67,653,713
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070104,0,0,0,200,117,41,130,140,76,98,2313,2354
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070105,122,0,0,228,139,43,270,270,98,116,732,733
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070106,102,0,0,206,144,20,110,110,58,67,2031,2035
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070107,236,0,0,217,150,51,320,320,98,125,2323,2351
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070108,3,0,0,167,67,46,330,320,98,112,348,224
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070109,0,0,0,200,44,46,320,320,94,112,1552,1552
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070110,0,0,0,133,44,28,20,40,63,80,949,1011
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070111,0,0,0,167,61,39,110,100,72,98,1422,1451
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070112,0,0,0,211,117,36,120,110,63,76,1249,1201
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070113,0,0,0,222,139,37,120,130,58,72,1207,1534
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070114,0,0,0,222,133,34,130,130,67,80,1224,1225
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070115,0,0,0,239,167,33,330,190,63,72,1341,2255
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070116,36,0,0,167,39,65,360,10,94,125,1759,1800
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070117,0,0,0,128,33,41,10,10,89,116,8,8
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070118,20,0,0,144,83,19,320,60,45,63,251,2239
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070119,0,0,0,111,89,38,360,10,63,80,1303,1303
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070120,0,0,0,161,67,34,10,30,67,89,1037,27
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070121,130,0,0,211,122,39,160,150,94,143,1255,1304
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070122,198,0,0,167,83,43,350,330,76,89,818,812
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070123,0,0,0,111,61,41,350,340,72,89,1747,1748
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070124,5,0,0,89,56,34,360,10,63,76,1443,530
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070125,0,0,0,161,67,41,340,320,76,103,1423,1424
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070126,0,0,0,133,6,16,360,360,45,58,10,213
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070127,160,0,0,128,33,29,30,20,76,103,2015,2016
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070128,3,0,0,133,11,50,300,300,94,112,1530,1530
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070129,0,0,0,94,-28,34,10,330,72,98,2357,830
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070130,0,0,0,117,22,18,330,20,36,40,2008,202
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070131,0,0,0,133,17,43,130,130,103,125,2342,2342
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070201,157,0,0,206,106,50,160,160,103,134,332,438
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070202,0,0,0,106,44,43,320,310,80,98,1603,1650
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070203,0,-9999,-9999,72,6,28,350,330,63,80,112,8
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070204,0,-9999,-9999,133,28,14,340,330,40,45,938,956
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070205,0,-9999,-9999,133,39,28,20,30,63,80,905,1033
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070206,0,-9999,-9999,156,17,24,150,140,54,63,1248,1554
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070207,0,-9999,-9999,222,67,35,280,270,67,72,1314,954
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070208,0,-9999,-9999,222,94,30,210,210,63,67,1617,1616
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070209,0,-9999,-9999,194,67,26,10,10,67,94,2228,2229
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070210,0,0,0,144,11,45,340,360,80,103,453,318
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070211,0,0,0,156,22,22,50,60,54,63,842,842
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070212,0,0,0,194,39,26,150,150,58,63,1534,1535
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070213,376,0,0,222,139,51,170,170,103,134,923,924
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070214,0,0,0,139,11,61,340,340,107,134,1327,1238
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070215,0,0,0,94,-6,49,350,350,80,103,2354,2355
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070216,0,0,0,67,-28,41,340,340,80,112,239,1344
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070217,3,0,0,139,-28,47,330,320,134,165,2355,2359
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070218,0,0,0,117,-6,54,330,330,139,174,4,5
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070219,0,0,0,150,-17,36,150,150,72,89,1417,1417
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070220,0,0,0,222,133,35,190,180,72,103,49,55
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070221,79,0,0,178,122,31,290,310,67,80,947,948
GHCND:USW00013899,PENSACOLA REGIONAL AIRPORT FL US,20070222,0,0,0,272,111,29,320,330,58,72,1317,1519
