STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070101,0,-9999,-9999,11,-5,17,110,110,40,45,1508
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070102,13,-9999,-9999,144,-10,41,240,240,94,107,2008
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070103,56,-9999,-9999,117,33,47,230,220,112,139,1438
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070104,18,-9999,-9999,61,-5,41,250,250,103,116,5
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070105,0,-9999,-9999,83,-21,67,200,210,161,210,2258
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070106,0,-9999,-9999,94,44,73,240,230,192,237,215
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070107,0,-9999,-9999,133,50,102,230,220,201,246,1208
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070108,0,-9999,-9999,106,0,14,270,260,72,81,56
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070109,0,-9999,-9999,139,17,41,280,270,139,161,2059
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070110,0,-9999,-9999,67,-32,47,230,240,112,139,1352
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070111,0,-9999,-9999,11,-88,52,20,360,112,139,1145
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070112,0,-9999,-9999,-27,-132,10,340,310,40,45,110
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070113,0,-9999,-9999,-43,-132,19,320,330,58,63,1907
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070114,0,-9999,-9999,-32,-132,10,320,320,31,36,922
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070115,0,-9999,-9999,-32,-143,15,320,350,40,54,1040
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070116,13,-9999,-9999,-43,-138,4,340,330,27,31,1436
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070117,0,-9999,-9999,-60,-149,15,300,310,36,36,1909
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070118,0,-9999,-9999,-38,-116,11,320,310,40,45,332
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070119,0,-9999,-9999,-16,-105,3,340,350,31,31,2103
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070120,0,-9999,-9999,94,-127,20,250,250,76,94,1243
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070121,0,-9999,-9999,28,-88,13,300,310,36,40,1738
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070122,0,-9999,-9999,50,-55,9,330,340,45,45,1526
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070123,0,-9999,-9999,72,-32,11,350,350,40,45,1624
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070124,0,-9999,-9999,83,-55,8,130,340,40,54,1418
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070125,0,-9999,-9999,11,-32,16,310,310,63,67,1432
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070126,0,-9999,-9999,11,-5,23,340,330,58,63,623
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070127,0,-9999,-9999,22,-21,20,360,360,54,58,207
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070128,0,-9999,-9999,6,-21,17,290,290,36,40,2359
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070129,0,-9999,-9999,-5,-16,27,320,320,58,67,1937
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070130,0,-9999,-9999,11,-43,8,120,120,31,31,1715
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070131,0,-9999,-9999,0,-60,18,360,20,36,40,2112
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070201,0,-9999,-9999,17,-77,18,280,280,45,58,1116
GHCND:USW00024163,PASCO TRI CITIES AIRPORT WA US,20070202,0,-9999,-9999,28,-110,13,300,290,63,72,1538
