STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070101,361,0,0,133,-6,30,180,180,103,130,1810,1811
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070102,0,0,0,89,17,51,320,310,125,170,803,945
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070103,0,0,0,106,-33,44,240,230,98,116,1523,1514
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070104,0,0,0,139,33,39,250,250,80,103,1302,1304
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070105,13,0,0,172,72,46,240,230,107,139,1205,1238
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070106,23,0,0,178,122,59,230,240,112,156,1001,1002
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070107,0,0,0,122,56,39,320,320,107,139,2352,2353
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070108,279,0,0,139,44,43,280,290,116,148,1411,1412
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070109,0,0,0,72,-6,43,250,250,98,125,1312,1347
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070110,0,0,0,33,-39,54,310,300,116,161,1435,1521
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070111,0,0,0,28,-56,38,300,320,89,130,30,33
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070112,0,0,0,106,22,48,230,240,103,139,1017,1017
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070113,23,0,0,117,44,37,60,40,67,89,1744,2247
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070114,30,0,0,50,17,34,10,10,67,76,1436,1438
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070115,64,0,0,67,22,24,10,360,58,67,2320,2321
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070116,3,0,0,72,-56,53,320,330,107,134,905,906
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070117,0,0,0,-44,-106,47,320,320,98,134,10,404
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070118,71,0,0,78,-106,24,200,200,80,103,2350,2352
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070119,8,0,0,67,11,51,310,330,139,170,1417,1417
GHCND:USW00014765,PROVIDENCE T F GREEN STATE AIRPORT RI US,20070120,0,0,0,11,-83,80,330,310,134,174,1454,1502
