STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070101,0,-9999,-9999,183,6,26,360,360,76,98,1229,1230
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070102,0,-9999,-9999,122,22,15,170,170,54,58,1441,1442
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070103,91,-9999,-9999,111,6,18,220,240,58,76,2137,2148
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070104,5,-9999,-9999,122,33,24,310,290,80,107,1355,1326
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070105,0,-9999,-9999,117,-22,28,10,10,80,103,1223,1159
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070106,0,-9999,-9999,100,-28,7,160,160,36,40,934,936
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070107,0,-9999,-9999,183,-6,30,350,350,89,112,2336,2307
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070108,0,-9999,-9999,228,106,52,10,10,103,130,1259,1452
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070109,0,-9999,-9999,183,11,2,340,350,31,40,55,58
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070110,0,-9999,-9999,128,28,23,320,310,63,89,1317,1327
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070111,0,-9999,-9999,89,-22,36,10,30,89,107,2210,2201
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070112,0,-9999,-9999,72,-28,51,20,10,98,125,919,1236
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070113,0,-9999,-9999,100,-39,26,10,360,63,76,1017,1039
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070114,0,-9999,-9999,117,-72,46,30,40,116,143,1127,1127
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070115,0,-9999,-9999,144,-33,27,20,10,63,72,1100,1102
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070116,0,-9999,-9999,78,-61,11,330,330,31,40,2359,2359
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070117,0,-9999,-9999,150,50,69,20,40,139,179,1230,1230
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070118,0,-9999,-9999,183,89,62,20,360,98,125,1248,1409
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070119,0,-9999,-9999,194,78,37,10,10,72,94,1040,1041
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070120,0,-9999,-9999,156,28,44,40,40,103,130,1134,1238
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070121,0,-9999,-9999,161,39,65,10,10,116,156,1204,1217
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070122,0,-9999,-9999,194,6,30,10,10,80,107,15,15
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070123,0,-9999,-9999,161,-33,2,90,90,27,31,1427,1424
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070124,0,-9999,-9999,172,-39,5,130,110,27,36,1414,1404
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070125,0,-9999,-9999,183,-33,3,30,40,31,31,2218,2217
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070126,0,-9999,-9999,161,-33,5,50,50,36,36,1906,1906
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070127,0,-9999,-9999,128,-17,10,10,330,31,36,201,1002
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070128,0,-9999,-9999,189,-28,15,190,190,76,89,1755,1755
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070129,0,-9999,-9999,200,-22,13,360,10,54,67,1307,1246
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070130,0,-9999,-9999,172,-6,14,150,160,45,54,1607,1657
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070131,0,-9999,-9999,172,-22,9,180,190,40,40,1819,1712
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070201,0,-9999,-9999,139,-11,11,160,170,40,63,1443,1508
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070202,0,-9999,-9999,117,-28,5,320,140,27,31,1716,2315
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070203,0,-9999,-9999,167,-11,4,30,40,31,36,2100,2103
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070204,0,-9999,-9999,211,6,12,160,160,54,63,1434,1517
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070205,0,-9999,-9999,194,22,4,270,270,31,31,2154,2154
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070206,0,-9999,-9999,172,11,9,110,70,36,45,1342,1335
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070207,69,-9999,-9999,122,78,32,190,190,125,161,2039,2047
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070208,366,-9999,-9999,106,67,8,40,170,40,54,116,1126
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070209,145,-9999,-9999,122,89,11,170,180,67,80,1630,1630
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070210,599,-9999,-9999,139,106,63,180,180,148,183,1253,1254
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070211,5,-9999,-9999,161,61,41,180,170,98,116,5,7
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070212,10,-9999,-9999,122,50,15,310,180,45,63,1137,1801
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070213,3,-9999,-9999,178,50,21,360,350,63,76,1347,1348
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070214,0,-9999,-9999,178,28,18,320,320,54,72,1501,1513
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070215,0,-9999,-9999,194,50,10,350,360,36,40,2222,2222
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070216,0,-9999,-9999,244,39,20,340,330,63,80,1407,1408
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070217,0,-9999,-9999,250,83,26,180,180,72,89,1742,1743
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070218,0,-9999,-9999,183,50,36,50,50,103,130,1411,1359
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070219,0,-9999,-9999,178,50,40,10,10,107,134,1015,1016
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070220,18,-9999,-9999,117,6,44,190,180,125,161,2103,2104
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070221,0,-9999,-9999,133,89,112,170,180,192,228,1603,1628
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070222,351,-9999,-9999,117,50,42,180,170,156,197,32,41
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070223,0,-9999,-9999,117,0,17,220,220,72,80,1630,1630
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070224,107,-9999,-9999,89,56,51,180,160,156,192,1614,1622
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070225,8,-9999,-9999,128,56,53,250,240,103,139,1210,1212
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070226,0,-9999,-9999,111,6,40,260,260,98,130,1739,1740
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070227,191,-9999,-9999,56,-17,25,170,170,125,139,1108,1107
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070228,0,-9999,-9999,100,-6,25,190,220,76,89,1532,1245
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070301,3,-9999,-9999,100,-11,13,180,210,54,63,1457,1507
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070302,0,-9999,-9999,150,11,18,40,350,54,67,1408,1536
GHCND:USW00024257,REDDING MUNICIPAL AIRPORT CA US,20070303,0,-9999,-9999,222,78,42,10,360,94,107,1029,1042
