STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070101,3,-9999,0,72,-83,19,160,170,63,80,2220,2228
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070102,0,-9999,0,139,50,67,220,220,112,139,2359,2352
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070103,114,-9999,0,83,-17,43,200,200,125,156,39,35
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070104,3,-9999,0,28,-39,44,290,290,103,134,1154,1612
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070105,0,-9999,0,39,-61,47,210,210,103,125,1853,1854
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070106,3,-9999,0,50,-6,51,290,290,130,156,657,657
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070107,0,-9999,0,89,-39,34,280,270,98,125,1626,1627
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070108,0,-9999,0,117,-11,26,170,170,63,76,2348,2340
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070109,0,-9999,0,128,6,38,230,230,125,156,2000,1957
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070110,0,-9999,0,22,-72,51,320,320,112,143,539,43
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070111,0,-9999,0,-17,-111,36,30,30,98,116,1522,1548
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070112,0,-9999,0,-39,-178,13,330,340,54,63,11,12
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070113,0,-9999,0,-11,-183,26,330,330,63,76,2349,2355
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070114,0,-9999,0,-28,-167,20,330,320,58,67,120,41
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070115,0,-9999,0,11,-183,10,330,340,40,45,1548,1548
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070116,0,-9999,0,17,-128,10,360,360,45,54,1327,1328
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070117,0,-9999,0,22,-139,14,160,50,31,40,1518,2355
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070118,0,-9999,0,78,-83,15,100,110,36,40,2200,2208
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070119,0,-9999,0,100,-33,17,350,350,54,63,1630,1630
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070120,0,-9999,0,33,-72,32,310,310,112,143,319,319
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070121,0,-9999,0,44,-100,16,170,170,40,45,26,27
GHCND:USW00024230,REDMOND ROBERTS FIELD OR US,20070122,0,-9999,0,106,-94,13,150,150,45,58,1106,1107
