STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070101,0,0,0,67,-22,57,320,320,103,125,1243,1244
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070102,0,0,0,44,-56,34,200,200,63,76,1911,1930
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070103,0,0,0,94,-17,60,200,190,94,112,1349,1356
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070104,0,0,0,106,11,62,210,220,125,156,1216,1226
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070105,0,0,0,106,39,31,230,220,67,76,347,8
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070106,0,0,0,61,-33,36,270,260,80,98,902,902
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070107,3,0,0,61,-39,47,280,280,89,112,1839,1818
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070108,0,0,0,50,-39,52,300,300,107,139,52,53
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070109,0,0,0,11,-61,70,290,300,134,161,1531,1323
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070110,0,0,0,11,-94,54,180,170,107,156,1829,1931
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070111,18,0,0,83,6,57,190,200,94,116,1225,1226
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070112,15,0,0,78,-17,38,340,340,72,89,1402,1403
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070113,5,0,0,-6,-33,44,30,30,76,94,450,450
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070114,66,0,23,0,-22,46,60,60,76,98,1756,2050
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070115,43,25,71,-11,-72,61,10,20,112,134,152,230
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070116,0,76,0,-61,-167,29,290,300,54,58,1520,1520
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070117,0,76,0,-50,-189,38,180,180,89,98,1725,1720
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070118,3,76,15,-11,-50,55,290,300,116,148,2140,2151
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070119,0,76,0,-33,-117,51,290,290,98,116,147,149
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070120,0,76,0,-50,-172,18,110,120,45,58,2350,2358
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070121,48,76,46,-11,-50,29,90,100,58,76,1152,1228
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070122,0,127,0,-22,-50,42,250,260,94,112,2321,2322
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070123,0,76,0,-39,-56,49,250,260,94,116,306,251
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070124,0,76,0,-33,-83,38,320,340,72,89,2024,2020
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070125,0,76,0,-50,-128,30,330,340,67,76,1054,1052
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070126,0,76,0,56,-78,51,200,210,94,103,1120,1117
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070127,3,76,8,0,-117,64,290,290,112,139,2002,2005
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070128,0,76,3,-67,-144,62,330,330,98,116,1353,1258
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070129,0,76,13,-33,-133,55,250,240,103,125,1941,1941
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070130,0,76,5,-83,-167,67,290,290,103,116,1303,732
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070131,3,76,8,-72,-183,47,210,220,80,94,2015,1433
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070201,0,76,5,-61,-150,43,260,260,76,94,1214,1217
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070202,0,76,0,-139,-167,50,270,250,94,116,1635,1307
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070203,0,51,5,-117,-217,74,260,270,134,156,1339,1324
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070204,0,51,0,-172,-228,59,310,310,103,130,1127,1127
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070205,0,51,0,-167,-250,33,300,300,63,76,1051,1508
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070206,30,51,91,-133,-250,24,340,350,45,58,1909,2056
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070207,0,0,0,-117,-222,39,300,290,76,94,2219,2049
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070208,0,0,0,-122,-228,43,320,300,72,89,110,2316
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070209,0,0,0,-106,-222,33,300,310,67,80,2218,2356
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070210,0,0,0,-128,-211,40,300,300,72,80,18,18
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070211,30,102,28,-28,-150,26,210,210,58,67,1126,1127
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070212,28,178,53,-11,-44,55,50,50,98,130,1916,2157
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070213,43,178,89,-33,-117,93,40,10,143,170,1800,1415
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070214,0,229,0,-83,-156,52,360,20,89,125,118,121
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070215,0,229,0,-111,-217,38,300,300,89,103,1506,1506
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070216,3,203,8,-72,-228,48,180,200,107,125,1408,1347
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070217,5,229,13,-33,-100,55,290,350,94,112,1115,1848
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070218,0,203,0,-50,-117,41,350,340,67,76,941,929
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070219,0,203,0,67,-100,53,210,220,103,134,1136,1119
GHCND:USW00094822,ROCKFORD GREATER ROCKFORD AIRPORT IL US,20070220,0,152,0,61,-33,13,290,310,40,54,104,1533
