STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070101,15,-9999,6,-93,37,310,330,76,125,722
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070102,0,-9999,22,-93,43,200,220,81,112,2253
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070103,0,-9999,44,-27,52,210,220,76,107,147
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070104,0,-9999,39,11,35,200,210,67,103,2
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070105,0,-9999,33,-5,32,260,250,72,94,558
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070106,0,-9999,0,-38,38,270,280,76,98,1109
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070107,3,-9999,11,-32,47,210,200,89,112,1255
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070108,0,-9999,-27,-88,43,280,290,89,130,514
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070109,0,-9999,-71,-127,55,270,300,107,148,1124
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070110,0,-9999,-32,-155,33,160,150,76,107,2109
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070111,0,-9999,22,-32,29,180,190,67,94,144
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070112,0,-9999,-10,-138,31,360,10,54,76,2110
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070113,0,-9999,-88,-166,12,100,60,36,45,950
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070114,10,-9999,-71,-105,20,50,60,45,67,1325
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070115,8,-9999,-82,-149,29,10,10,63,94,1014
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070116,0,-9999,-99,-238,24,260,260,63,72,1555
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070117,0,-9999,-55,-177,57,210,210,89,116,1411
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070118,0,-9999,-66,-110,42,210,190,76,112,4
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070119,0,-9999,-66,-182,38,280,280,98,116,141
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070120,0,-9999,-66,-249,17,200,170,54,67,1955
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070121,13,-9999,-55,-143,8,200,210,45,54,1030
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070122,0,-9999,-60,-99,40,220,230,76,107,2127
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070123,0,-9999,-38,-205,26,250,250,72,98,140
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070124,0,-9999,-77,-232,19,290,280,58,76,1500
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070125,0,-9999,-82,-143,18,220,210,63,89,2150
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070126,0,-9999,-32,-88,30,210,220,67,94,301
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070127,0,-9999,-32,-138,40,340,300,72,107,1038
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070128,0,-9999,-99,-188,26,250,350,58,98,528
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070129,0,-9999,-116,-188,12,320,320,36,45,2122
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070130,0,-9999,-105,-177,41,260,250,81,103,1711
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070131,0,-9999,-77,-177,43,200,220,94,139,1500
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070201,0,-9999,-82,-171,34,250,260,72,103,812
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070202,0,-9999,-160,-249,39,260,260,89,107,1428
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070203,0,-9999,-205,-299,38,270,270,103,125,1222
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070204,0,-9999,-232,-310,41,270,300,81,103,1019
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070205,0,-9999,-171,-293,35,280,280,63,89,23
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070206,0,-9999,-143,-327,24,270,270,58,72,2348
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070207,0,-9999,-116,-188,-9999,260,270,98,125,1521
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070208,0,-9999,-88,-227,45,270,270,98,130,1331
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070209,0,-9999,-105,-232,36,260,280,89,103,1722
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070210,0,-9999,-110,-260,40,250,250,81,107,2120
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070211,0,-9999,-71,-199,37,250,250,81,103,1325
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070212,0,-9999,-88,-199,18,60,60,45,63,1546
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070213,0,-9999,-99,-188,21,40,70,54,76,1428
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070214,0,-9999,-127,-221,28,330,320,63,89,1655
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070215,0,-9999,-88,-216,43,260,270,72,94,1440
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070216,0,-9999,-66,-188,48,220,230,98,134,1329
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070217,0,-9999,-66,-149,34,300,300,76,103,1625
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070218,0,-9999,-77,-216,27,180,190,58,89,2225
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070219,0,-9999,11,-99,38,250,150,76,103,427
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070220,0,-9999,28,-127,21,230,220,54,67,2213
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070221,5,-9999,78,-27,50,280,280,116,161,2327
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070222,0,-9999,0,-127,46,290,310,112,165,10
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070223,0,-9999,-27,-155,42,110,100,107,143,2106
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070224,0,-9999,-49,-77,82,90,100,130,165,1523
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070225,28,-9999,-38,-66,69,90,100,130,170,949
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070226,28,-9999,-43,-66,24,70,60,54,67,1240
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070227,0,-9999,-10,-66,5,90,100,31,36,53
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070228,0,-9999,-10,-43,41,90,90,89,116,2131
GHCND:USW00004803,RHINELANDER ONEIDA CO AIRPORT WI US,20070301,15,-9999,-27,-55,94,80,80,148,201,1546
