STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070101,406,-9999,0,189,100,51,250,270,116,143,1131,1131
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070102,0,-9999,0,128,11,27,320,310,80,98,207,1153
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070103,0,-9999,0,150,-6,27,210,210,76,94,1200,1201
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070104,0,-9999,0,194,61,40,210,220,89,107,1257,1329
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070105,10,-9999,0,206,128,38,190,190,76,94,2248,2208
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070106,104,-9999,0,228,94,47,260,260,94,112,1353,1414
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070107,127,-9999,0,161,72,36,180,130,76,98,1455,2351
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070108,97,-9999,0,172,39,49,300,300,130,156,1031,1032
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070109,0,-9999,0,111,-17,44,280,280,107,134,1509,1510
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070110,0,-9999,0,61,-28,41,320,330,103,125,1204,1204
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070111,0,-9999,0,83,-44,23,180,180,67,89,1358,1359
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070112,3,-9999,0,139,17,36,220,230,76,103,1114,1220
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070113,0,-9999,0,222,83,45,240,230,80,103,1151,1203
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070114,0,-9999,0,233,111,40,220,200,80,103,1553,1515
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070115,0,-9999,0,222,133,67,220,220,116,143,1516,1524
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070116,0,-9999,0,194,28,56,10,10,98,116,1118,1119
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070117,0,-9999,0,28,-39,39,360,20,98,130,337,456
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070118,18,-9999,0,17,-44,13,330,320,36,45,1054,1242
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070119,0,-9999,0,122,17,48,300,300,103,116,1259,1259
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070120,0,-9999,0,67,-17,47,330,330,130,161,1152,1114
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070121,74,-9999,0,6,-28,20,160,170,45,58,1938,1938
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070122,36,-9999,0,28,6,13,130,130,40,40,419,411
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070123,0,-9999,0,78,-22,21,300,360,63,76,1103,1250
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070124,0,-9999,0,72,-44,15,280,280,54,67,1417,1418
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070125,5,-9999,0,61,-28,44,290,310,125,148,2334,1358
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070126,0,-9999,0,39,-83,31,330,330,112,130,4,2355
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070127,0,-9999,0,167,-11,58,240,230,103,125,1451,1206
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070128,0,-9999,0,111,0,45,310,310,112,148,2326,2352
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070129,0,-9999,0,17,-56,57,310,320,134,170,201,232
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070130,0,-9999,0,94,-56,44,190,220,98,112,1501,1405
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070131,0,-9999,0,28,-50,40,320,320,98,116,123,30
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070201,20,-9999,8,17,-44,26,180,180,58,63,308,308
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070202,36,-9999,0,44,6,19,260,260,63,72,2040,2041
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070203,0,-9999,0,56,-17,52,250,260,112,139,1351,1351
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070204,0,-9999,0,89,-44,65,260,270,130,170,1533,1355
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070205,0,-9999,0,-6,-78,51,300,300,107,130,1446,1435
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070206,0,-9999,0,-17,-111,31,270,290,76,98,1133,1225
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070207,0,-9999,0,44,-50,34,10,10,89,107,909,909
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070208,0,-9999,0,39,-83,30,310,310,112,125,1232,1144
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070209,0,-9999,0,50,-94,30,300,300,76,94,1041,1041
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070210,0,-9999,0,50,-72,21,330,340,76,89,1439,1439
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070211,0,-9999,0,61,-106,23,220,220,67,76,1358,1359
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20070212,0,-9999,0,111,-56,20,170,180,54,63,1546,1455
