STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070101,0,0,0,89,-50,9,90,310,40,67,1321,1616
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070102,0,0,0,67,-44,12,210,210,36,40,2350,2351
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070103,0,0,0,156,-11,46,180,200,148,197,1002,948
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070104,23,0,30,89,-22,59,280,330,107,139,1823,600
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070105,0,0,0,0,-72,29,330,330,107,134,52,53
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070106,0,0,0,78,-89,9,20,30,76,98,1526,1544
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070107,0,0,0,83,-67,5,280,270,31,45,2203,1829
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070108,0,0,0,100,-67,10,80,80,54,63,1702,1703
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070109,0,0,0,94,-67,3,190,270,27,63,1155,2103
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070110,0,0,0,139,-61,45,260,270,125,170,1424,1428
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070111,10,0,13,44,-61,33,290,290,116,156,142,215
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070112,0,0,0,-50,-122,33,10,10,89,112,1438,1438
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070113,0,0,0,-22,-150,7,310,290,31,45,1739,1735
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070114,0,0,0,0,-78,16,80,70,54,63,1533,1534
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070115,0,0,0,22,-122,10,140,140,40,54,1830,1831
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070116,0,0,0,22,-122,10,350,260,36,54,1512,2352
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070117,0,0,0,33,-89,14,10,360,45,58,1440,1746
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070118,0,0,0,61,-100,11,80,80,58,67,1607,1607
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070119,0,0,0,61,-89,11,40,30,54,58,1647,1647
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070120,0,0,0,78,-94,18,10,10,89,103,1519,1520
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070121,0,0,0,33,-100,21,80,80,63,72,1435,1421
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070122,0,0,0,72,-94,8,200,300,31,58,2143,1952
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070123,0,0,0,94,-94,10,30,40,54,58,1814,1809
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070124,0,0,0,111,-78,7,280,270,31,58,2019,2048
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070125,0,0,0,122,-72,3,330,230,31,54,1435,1831
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070126,0,0,0,106,-67,8,30,50,40,45,1731,1753
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070127,0,0,0,106,-67,10,30,30,45,58,1658,1659
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070128,0,0,0,72,-67,10,130,120,54,63,1514,1541
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070129,0,0,0,100,-67,9,80,80,54,58,1700,1647
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070130,0,0,0,106,-67,13,360,290,54,63,1341,553
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070131,0,0,0,94,-78,6,360,360,36,40,1820,1822
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070201,0,0,0,122,-83,12,20,20,76,89,1650,1639
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070202,0,0,0,83,-89,6,280,290,36,63,2049,2040
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070203,0,0,0,156,-61,5,10,250,31,40,1224,1815
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070204,0,0,0,172,-39,12,80,80,67,76,1544,1545
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070205,0,0,0,156,-22,4,160,290,36,54,2149,1811
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070206,0,0,0,206,-22,17,200,200,103,116,1355,1359
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070207,0,0,0,122,39,21,260,260,89,107,1318,1319
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070208,3,0,0,128,17,37,180,180,112,134,2339,2340
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070209,13,0,0,111,39,19,150,130,98,112,103,2357
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070210,112,0,0,111,33,23,190,190,125,161,1609,1610
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070211,20,0,0,111,6,35,300,300,112,139,1600,1552
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070212,0,0,0,94,-22,14,290,290,98,107,1706,1706
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070213,0,0,0,89,-17,21,360,360,63,72,1430,1551
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070214,0,0,0,106,-39,16,340,330,58,63,1803,1739
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070215,3,0,0,156,17,17,320,350,98,125,1228,1300
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070216,0,0,0,150,6,17,320,310,58,72,1553,1554
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070217,0,0,0,172,0,13,80,100,63,72,1555,1542
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070218,8,0,8,139,11,34,360,250,98,125,1335,1749
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070219,0,0,0,83,-33,19,330,330,72,89,123,220
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070220,0,0,0,156,-44,32,170,160,130,156,1551,1716
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070221,0,0,0,167,22,73,170,180,143,170,1628,1622
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070222,0,0,0,83,-22,75,210,210,170,210,435,435
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070223,0,0,0,50,-44,38,300,300,98,125,1351,1355
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070224,0,0,0,100,-39,45,180,180,139,156,1503,1532
GHCND:USW00023185,RENO TAHOE INTERNATIONAL AIRPORT NV US,20070225,8,0,0,67,0,51,290,290,130,165,1600,1601
