STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070101,185,0,0,178,56,41,290,280,116,156,2046,2035
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070102,0,0,0,117,-6,38,310,310,103,139,448,432
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070103,0,0,0,139,-28,13,140,140,45,58,1710,1722
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070104,0,0,0,183,-17,13,120,180,54,67,1734,2139
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070105,79,0,0,183,117,16,150,150,63,72,1423,1424
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070106,0,0,0,189,117,43,270,290,103,134,1031,1345
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070107,157,0,0,133,61,16,140,110,67,76,1129,1046
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070108,74,0,0,111,6,52,290,300,170,197,917,908
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070109,3,0,0,67,0,55,300,300,139,174,2129,2308
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070110,0,0,0,39,-33,53,300,300,134,156,137,123
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070111,0,0,0,61,-56,17,150,150,67,80,1334,1610
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070112,10,0,0,94,22,0,30,10,27,31,1917,1925
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070113,3,0,0,194,50,17,240,250,76,98,1144,1147
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070114,0,0,0,222,122,31,250,210,63,76,1322,1609
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070115,0,0,0,206,106,28,260,270,112,139,1856,1901
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070116,0,0,0,161,6,58,300,290,116,139,904,933
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070117,0,0,0,28,-50,29,360,10,63,72,627,628
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070118,0,0,0,28,-39,13,280,280,54,58,2351,2351
GHCND:USW00013741,ROANOKE REGIONAL AIRPORT VA US,20070119,0,0,0,72,6,79,300,290,143,219,823,817
