STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070101,38,0,0,106,50,62,190,190,148,183,14,14
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070102,0,0,0,67,6,55,300,300,116,148,158,56
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070103,0,0,0,106,17,53,230,230,112,139,1127,1127
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070104,0,0,0,150,56,54,210,220,98,125,2029,1935
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070105,152,0,0,156,100,24,200,200,98,130,605,606
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070106,109,0,0,139,50,62,260,260,161,206,1257,1258
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070107,46,0,0,72,33,40,290,280,89,125,143,148
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070108,10,0,0,89,17,85,240,250,156,192,1223,1224
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070109,3,0,8,33,-17,57,260,260,112,143,31,17
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070110,20,0,28,-17,-61,57,280,260,103,134,1502,1426
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070111,0,0,0,67,-72,53,200,200,112,156,1931,1941
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070112,43,0,0,100,39,56,200,200,107,139,26,33
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070113,76,0,13,111,-11,42,330,320,80,107,325,408
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070114,20,0,0,6,-11,31,50,50,67,72,1047,1047
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070115,203,0,5,17,-22,20,90,60,58,72,250,626
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070116,48,0,117,-22,-100,45,290,280,89,112,1409,1436
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070117,3,25,8,-39,-111,13,330,200,54,94,1015,0
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070118,0,25,0,11,-111,22,180,180,63,76,1250,1250
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070119,18,25,66,11,-39,64,280,270,134,165,1631,1632
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070120,38,127,81,-39,-111,62,300,300,116,148,1037,1038
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070121,0,127,0,-56,-144,30,80,90,67,76,2014,1816
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070122,51,76,69,-28,-72,17,350,360,45,54,1652,1631
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070123,46,76,48,0,-78,43,230,240,89,103,1436,1437
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070124,25,76,33,-11,-72,34,10,360,72,80,1147,1148
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070125,23,127,69,-56,-139,43,290,300,80,107,1715,1715
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070126,8,127,15,-83,-178,40,260,260,67,76,1330,1331
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070127,20,152,8,6,-83,29,250,250,72,94,2151,2157
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070128,20,127,86,-11,-72,38,10,10,89,98,625,625
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070129,58,127,69,-50,-117,49,250,250,103,139,1408,1511
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070130,0,229,10,-28,-106,20,300,280,45,58,2236,2244
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070131,0,178,25,-39,-94,67,260,260,148,183,1154,1010
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070201,0,127,0,0,-61,39,200,200,80,103,929,930
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070202,10,127,25,0,-67,35,260,250,139,165,2205,2205
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070203,28,102,114,-56,-128,76,250,260,139,174,2022,2023
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20070204,0,203,0,-111,-156,80,260,260,116,148,1532,1532
