STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070101,3,25,5,0,-72,63,330,330,143,161,250,201
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070102,0,25,0,17,-50,77,220,230,112,139,2122,2201
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070103,0,0,0,50,-11,90,210,220,130,143,1058,1056
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070104,0,0,0,61,11,69,210,210,112,165,506,507
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070105,0,0,0,17,-6,51,340,350,89,98,1301,1304
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070106,0,0,0,28,-22,62,200,310,98,116,321,2357
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070107,0,0,0,11,-56,83,320,320,125,148,2027,2028
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070108,0,0,0,17,-67,51,250,250,76,89,1048,1039
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070109,0,0,0,-33,-100,81,300,310,134,161,1241,1340
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070110,0,0,0,33,-106,83,180,190,143,179,1346,1347
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070111,0,0,0,33,-44,61,210,200,139,174,11,103
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070112,0,0,0,-44,-150,77,340,340,103,116,653,759
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070113,0,0,0,-89,-156,31,30,20,58,67,442,935
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070114,36,0,76,-61,-94,47,20,20,76,94,2320,2349
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070115,23,127,58,-89,-194,58,350,360,80,98,655,1448
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070116,0,127,0,-156,-244,41,210,210,76,94,2359,2359
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070117,0,102,0,-72,-172,88,210,210,125,143,1212,1159
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070118,0,102,3,-39,-89,72,300,290,116,148,2345,2348
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070119,0,102,0,-67,-167,58,300,300,130,143,42,42
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070120,0,102,0,-67,-200,50,170,160,89,98,1500,1412
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070121,61,102,99,-33,-111,31,170,170,63,67,56,0
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070122,0,178,0,-50,-117,55,230,240,94,103,2348,2048
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070123,0,178,0,-61,-122,46,240,240,98,107,109,110
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070124,0,152,0,-50,-117,38,310,310,76,89,1455,1451
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070125,0,152,0,-56,-117,44,220,230,94,125,2353,2355
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070126,0,127,0,28,-67,84,320,320,134,148,2148,2148
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070127,0,127,0,-50,-178,89,320,320,143,156,1402,1146
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070128,0,102,0,-144,-206,63,320,330,103,116,407,341
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070129,8,102,13,-56,-172,70,320,320,148,161,1722,1723
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070130,0,102,0,-139,-183,68,320,320,98,112,308,325
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070131,5,102,13,-72,-200,73,210,210,134,161,1201,1201
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070201,0,127,0,-122,-217,50,310,310,112,130,2328,2329
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070202,0,127,0,-150,-244,68,310,310,107,125,228,155
GHCND:USW00014925,ROCHESTER INTERNATIONAL AIRPORT MN US,20070203,0,127,0,-172,-256,78,310,320,125,139,612,439
