STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070101,5,267,189,31,310,320,72,94,1857
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070102,0,250,189,36,90,70,72,81,2014
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070103,0,294,178,29,140,150,58,72,1247
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070104,0,278,178,33,130,150,76,98,1055
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070105,0,294,200,45,150,150,103,130,1210
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070106,3,300,200,18,150,150,54,63,1111
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070107,3,283,178,26,150,150,67,89,1146
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070108,0,278,172,39,230,250,76,94,1239
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070109,0,206,100,39,360,10,89,103,1033
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070110,0,211,89,47,60,60,89,98,1547
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070111,10,250,106,47,60,80,103,130,1206
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070112,0,267,133,50,80,80,107,130,1402
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070113,0,278,144,42,110,90,89,107,1130
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070114,0,272,161,41,90,80,94,107,1455
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070115,0,267,150,16,110,150,54,67,1326
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070116,0,278,189,20,220,230,63,67,1508
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070117,0,267,183,52,60,30,89,103,643
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070118,0,272,172,21,30,30,54,72,2357
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070119,0,267,172,26,360,360,58,72,1407
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070120,0,267,144,36,60,60,81,94,2134
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070121,0,289,150,43,100,120,81,103,1020
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070122,8,283,183,45,200,210,107,125,1358
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070123,0,250,183,15,320,300,45,54,1546
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070124,0,244,161,33,40,60,63,67,2006
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070125,79,167,94,41,20,360,76,103,912
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070126,0,211,61,31,40,10,67,81,842
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070127,0,250,89,34,140,150,76,94,1257
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070128,0,228,122,50,300,280,98,130,922
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070129,0,172,61,29,30,10,72,89,714
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070130,0,172,33,20,40,360,54,58,1124
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070131,0,228,89,38,40,50,76,89,1003
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070201,0,278,128,57,200,170,116,139,1535
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070202,0,283,194,69,210,210,125,143,1031
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070203,0,200,150,45,20,20,76,89,1222
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070204,3,189,122,61,30,40,94,112,2307
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070205,18,156,106,51,30,30,94,107,936
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070206,3,217,94,42,60,70,94,103,1503
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070207,0,256,100,22,260,260,54,63,1648
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070208,0,261,128,17,280,290,45,72,1800
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070209,0,261,100,17,270,270,58,67,1707
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070210,0,256,122,29,300,290,58,72,1551
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070211,15,256,111,33,70,60,63,81,2053
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070212,36,211,161,35,80,70,72,94,1425
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070213,0,267,167,38,220,190,98,112,1612
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070214,0,261,161,39,250,260,81,103,1336
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070215,18,161,111,21,350,350,54,67,2128
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070216,0,156,56,37,330,300,72,94,1454
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070217,0,161,22,30,290,310,81,107,1406
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070218,18,161,67,47,330,320,112,143,1122
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070219,0,194,33,29,40,50,67,89,1325
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070220,0,239,56,18,220,240,67,94,1439
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070221,0,256,100,22,210,210,72,89,1622
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070222,0,261,144,25,320,320,67,81,1417
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070223,0,278,128,27,70,70,67,94,2107
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070224,0,261,117,43,90,100,89,107,916
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070225,0,278,156,46,200,180,98,112,1709
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070226,0,261,194,46,220,220,81,94,1624
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070227,0,283,211,34,230,230,89,103,1406
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070228,0,294,183,33,100,90,98,125,1701
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070301,0,300,183,48,180,170,94,112,1607
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070302,0,294,217,54,220,210,107,130,1301
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070303,0,289,167,51,220,210,94,116,1256
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070304,0,244,144,42,340,340,81,103,2043
GHCND:USW00012894,FORT MYERS SW FLORIDA REGIONAL AIRPORT FL US,20070305,0,228,94,42,30,360,72,89,1038
