STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070101,0,0,0,167,17,29,10,10,58,67,915,917
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070102,0,0,0,128,11,31,50,50,49,67,-9999,9999
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070103,272,0,0,117,83,37,300,300,80,94,1906,1907
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070104,30,0,0,172,83,32,260,270,89,107,237,238
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070105,0,0,0,244,83,23,190,200,58,63,1237,1238
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070106,3,0,0,139,83,49,10,20,112,143,934,934
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070107,0,0,0,200,39,43,360,360,107,134,1504,1504
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070108,0,0,0,167,-11,24,240,230,67,89,1436,1431
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070109,0,0,0,194,17,28,90,90,72,89,1439,1448
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070110,0,0,0,200,11,43,180,180,103,116,1608,1356
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070111,0,0,0,206,133,48,180,190,80,112,1354,1355
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070112,5,0,0,228,178,53,130,150,80,107,2146,2108
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070113,104,0,0,211,56,53,170,170,80,107,946,1119
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070114,99,0,0,100,39,42,20,20,98,116,2219,2220
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070115,135,0,0,39,-6,64,10,10,107,134,1142,1143
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070116,99,0,0,0,-17,54,20,20,103,130,445,607
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070117,20,0,0,11,-11,13,30,30,54,67,504,500
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070118,0,0,0,106,11,13,20,10,54,72,2356,2358
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070119,3,0,0,78,44,46,30,10,72,98,253,647
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070120,58,0,0,72,39,23,320,300,58,67,1714,1726
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070121,0,0,0,194,0,15,200,200,54,63,1459,1500
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070122,0,0,0,100,44,59,10,360,94,125,759,800
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070123,36,0,0,72,44,46,20,20,76,94,1543,1546
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070124,236,0,0,78,44,28,30,20,58,76,936,1021
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070125,0,0,0,178,22,26,20,20,58,67,1010,1011
GHCND:USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT TX US,20070126,0,0,0,172,11,35,150,160,76,94,1426,1916
