STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070101,30,0,0,217,117,41,280,280,112,139,1251,1251
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070102,0,0,0,133,44,35,20,40,67,80,951,956
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070103,0,0,0,217,72,30,70,20,54,67,40,1418
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070104,0,0,0,228,150,18,120,140,40,45,1613,1538
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070105,224,0,0,250,156,37,160,150,94,112,1338,1338
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070106,0,0,0,244,144,26,230,210,58,76,0,13
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070107,0,0,0,256,139,28,160,160,67,80,1554,1539
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070108,61,0,0,211,67,39,290,300,89,112,1427,1512
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070109,0,0,0,172,0,36,290,280,112,156,1555,1625
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070110,0,0,0,128,0,19,10,360,63,72,1019,1015
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070111,0,0,0,167,6,33,110,80,72,80,1540,1321
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070112,0,0,0,239,83,21,110,140,63,76,1426,1516
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070113,0,0,0,244,78,9,150,150,58,63,1636,1633
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070114,0,0,0,256,133,21,140,140,63,76,1619,1620
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070115,0,0,0,261,117,29,200,190,76,107,1158,1159
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070116,0,0,0,211,94,34,300,290,80,98,1431,1431
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070117,56,0,0,94,28,63,20,20,94,130,1318,1005
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070118,94,0,0,50,22,43,30,30,76,94,47,48
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070119,0,0,0,133,44,33,290,290,67,76,1403,1404
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070120,0,0,0,139,22,22,10,10,67,76,940,919
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070121,0,0,0,200,11,37,140,180,89,103,2334,1508
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070122,66,0,0,183,106,30,330,180,67,94,33,1023
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070123,0,0,0,106,67,26,290,280,63,80,39,127
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070124,0,0,0,106,61,22,310,280,45,58,1624,1124
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070125,0,0,0,144,50,34,280,300,80,103,1654,1533
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070126,0,0,0,128,-28,19,160,170,54,58,1716,1715
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070127,15,0,0,172,-22,21,220,230,45,63,1338,1339
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070128,145,0,0,133,39,51,280,290,116,156,2217,2215
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070129,0,0,0,78,-39,31,290,300,107,134,36,28
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070130,0,0,0,111,-28,21,250,240,63,76,1450,1639
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070131,0,0,0,106,0,24,360,350,80,94,954,957
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070201,307,0,0,172,-6,26,160,280,98,125,1108,1005
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070202,10,0,0,139,72,31,230,260,67,94,1353,1551
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070203,0,0,0,83,22,34,300,310,67,80,351,1514
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070204,0,0,0,144,6,23,250,280,67,107,1517,1607
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070205,0,0,0,106,17,32,290,310,76,98,1434,1419
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070206,0,0,0,133,-6,26,140,270,54,63,1352,1824
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070207,0,0,0,217,39,36,250,270,76,107,1029,1337
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070208,0,0,0,200,56,27,300,270,67,80,1437,1439
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070209,25,0,0,161,67,25,300,300,58,72,1400,1626
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070210,0,0,0,133,6,23,300,300,72,80,1525,1525
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070211,0,0,0,161,-17,12,80,60,63,76,1605,1618
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070212,0,0,0,222,39,19,160,160,72,89,1503,1504
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070213,51,0,0,211,78,24,200,190,67,98,1837,1838
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070214,0,0,0,150,28,42,280,280,103,134,1318,1337
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070215,0,0,0,106,0,22,30,30,63,67,918,919
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070216,0,0,0,100,-22,26,260,260,76,94,1417,1418
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070217,0,0,0,122,-50,22,200,200,72,98,1203,1203
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20070218,0,0,0,117,11,57,300,310,107,139,1530,1530
