STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070101,0,-9999,-9999,206,28,15,140,140,67,76,1329,1330
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070102,0,-9999,-9999,211,17,13,250,280,58,67,1618,1127
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070103,0,-9999,-9999,183,39,13,110,100,58,67,2101,2055
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070104,0,-9999,-9999,183,22,38,310,320,134,215,2148,2209
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070105,0,-9999,-9999,156,56,47,40,40,125,161,1930,1954
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070106,0,-9999,-9999,222,0,23,60,60,94,112,2042,2042
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070107,0,-9999,-9999,200,28,13,270,260,54,63,1419,1422
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070108,0,-9999,-9999,239,6,12,280,280,58,67,1440,1441
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070109,0,-9999,-9999,261,28,7,270,260,36,40,1543,1544
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070110,0,-9999,-9999,183,44,9,260,260,36,40,1611,1613
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070111,0,-9999,-9999,172,39,31,350,360,89,107,2035,2037
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070112,0,-9999,-9999,133,-6,42,300,300,107,148,1309,1432
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070113,0,-9999,-9999,117,-28,20,260,260,63,72,1530,1546
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070114,0,-9999,-9999,117,-33,12,130,150,40,58,1108,1618
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070115,0,-9999,-9999,133,-39,13,240,240,54,63,1406,1407
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070116,0,-9999,-9999,150,-44,16,270,270,58,67,1513,1513
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070117,5,-9999,-9999,133,-22,33,50,50,98,116,2014,2015
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070118,0,-9999,-9999,194,6,27,360,360,94,107,315,313
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070119,0,-9999,-9999,189,-22,17,260,250,63,72,1357,1449
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070120,0,-9999,-9999,156,0,14,260,160,40,54,1207,1510
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070121,0,-9999,-9999,167,0,16,280,280,54,63,1606,1607
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070122,0,-9999,-9999,189,-11,11,260,270,54,58,1519,1406
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070123,0,-9999,-9999,194,-11,17,270,260,54,63,1532,1533
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070124,0,-9999,-9999,194,-6,10,260,260,54,67,1350,1351
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070125,0,-9999,-9999,194,11,10,260,270,54,63,1636,1638
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070126,0,-9999,-9999,161,6,14,250,250,45,58,1329,1330
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070127,361,-9999,-9999,122,50,35,100,100,80,103,1338,1338
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070128,94,-9999,-9999,144,94,30,130,140,72,89,1258,1117
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070129,13,-9999,-9999,150,72,15,270,270,40,54,1653,1654
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070130,180,-9999,-9999,167,94,16,60,60,72,80,1535,1536
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070131,0,-9999,-9999,178,67,26,270,270,80,98,1551,1531
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070201,0,-9999,-9999,156,28,17,350,350,76,94,24,25
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070202,0,-9999,-9999,161,39,13,270,270,40,54,1518,1630
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070203,0,-9999,-9999,183,17,17,270,280,58,67,1616,1617
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070204,0,-9999,-9999,233,22,14,270,280,58,67,1454,1550
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070205,0,-9999,-9999,239,50,15,260,250,76,94,1125,1125
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070206,0,-9999,-9999,183,33,14,260,250,54,63,1522,1540
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070207,0,-9999,-9999,172,44,19,150,140,45,58,1029,1036
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070208,0,-9999,-9999,167,78,17,280,280,63,67,1654,1626
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070209,0,-9999,-9999,172,72,17,260,270,72,80,1618,1616
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070210,160,-9999,-9999,183,106,21,270,280,58,72,1521,1543
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070211,46,-9999,-9999,189,89,33,280,250,98,116,1513,1548
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070212,0,-9999,-9999,172,78,30,280,280,76,98,1535,1644
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070213,0,-9999,-9999,194,83,44,320,310,103,125,1628,1628
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070214,0,-9999,-9999,217,61,37,350,360,98,116,804,806
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070215,0,-9999,-9999,200,33,21,30,30,58,67,2114,2115
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070216,0,-9999,-9999,228,56,12,150,80,67,72,1958,1908
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070217,0,-9999,-9999,278,67,10,230,230,40,45,1349,1330
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070218,71,-9999,-9999,194,89,23,120,130,58,67,1910,1910
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070219,36,-9999,-9999,189,100,19,210,40,54,58,4,1249
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070220,0,-9999,-9999,167,67,13,140,140,45,45,1056,1055
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070221,0,-9999,-9999,161,100,21,160,280,54,58,1752,1356
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070222,168,-9999,-9999,139,61,24,270,270,72,80,1533,1534
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070223,0,-9999,-9999,161,50,51,310,340,107,139,1250,1148
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20070224,0,-9999,-9999,161,17,22,30,40,67,80,342,345
