STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070101,20,0,0,67,-22,59,230,210,107,143,103,124
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070102,0,0,0,56,-44,31,240,200,72,89,2228,1344
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070103,0,0,0,83,0,60,220,210,98,130,2357,1141
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070104,315,0,0,94,33,62,180,190,103,130,1750,2146
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070105,3,0,0,100,72,24,230,230,80,112,134,134
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070106,13,0,0,78,-11,39,290,280,80,103,1059,1201
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070107,36,0,8,22,-33,19,140,140,72,80,1214,1215
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070108,10,25,13,33,-17,62,270,240,103,156,1921,741
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070109,0,0,0,0,-28,65,320,300,116,143,1640,1015
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070110,0,0,0,6,-44,52,310,320,98,116,153,10
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070111,3,0,0,72,0,75,210,200,112,148,1936,1336
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070112,58,0,0,106,33,52,220,220,103,125,227,138
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070113,13,0,0,33,-6,32,10,10,76,94,426,348
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070114,135,0,0,11,-6,30,90,80,63,94,2225,2304
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070115,94,0,15,11,-33,34,360,360,67,80,1954,1955
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070116,25,76,94,-28,-94,21,360,10,54,67,305,736
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070117,0,25,0,-50,-133,29,180,170,67,80,1811,1804
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070118,5,25,15,0,-61,52,280,220,94,125,1226,2344
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070119,0,25,0,-11,-56,65,310,310,107,156,503,504
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070120,0,25,0,-22,-72,16,310,320,63,80,2357,105
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070121,13,0,18,-22,-44,38,130,120,76,98,802,805
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070122,0,25,0,-17,-44,27,240,230,67,80,2200,2155
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070123,0,25,0,-22,-44,53,240,230,107,139,901,902
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070124,3,25,5,-22,-44,35,280,260,72,89,1406,1404
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070125,28,76,69,-33,-78,45,350,340,103,130,1343,1305
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070126,0,76,0,44,-83,79,210,210,134,179,1423,1424
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070127,30,0,104,39,-33,51,270,260,112,139,101,102
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070128,25,127,79,-33,-117,54,240,240,94,112,1407,1451
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070129,5,178,20,-50,-144,43,200,200,80,98,1157,1158
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070130,56,127,203,-56,-111,69,270,300,103,134,938,1508
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070131,0,279,0,-78,-178,45,210,210,72,94,1445,1451
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070201,0,203,3,-39,-83,48,240,250,89,103,1131,1129
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070202,0,127,0,-56,-167,57,260,260,116,139,1412,1412
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070203,0,102,3,-111,-194,74,260,280,165,201,1027,1027
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070204,3,102,15,-161,-217,73,260,260,107,143,1238,1452
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070205,3,102,15,-156,-222,51,230,270,89,103,1408,1147
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070206,18,76,33,-133,-211,28,210,220,58,72,709,718
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070207,3,102,8,-89,-183,48,300,300,80,98,1223,1223
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070208,0,102,8,-106,-183,51,240,230,72,94,1324,1558
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070209,0,76,8,-67,-172,35,270,280,72,94,1308,1402
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070210,0,76,8,-89,-172,42,260,260,72,76,1435,1324
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070211,0,76,0,-33,-172,47,230,210,76,98,2106,1249
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070212,18,102,36,-6,-44,25,70,80,63,80,2149,2202
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070213,64,127,150,-33,-111,67,30,20,116,170,2042,2043
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070214,5,178,28,-72,-150,49,350,20,98,130,109,1440
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070215,23,229,58,-78,-150,43,290,300,89,107,1333,1510
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070216,0,254,0,-83,-217,49,200,190,94,112,1559,1439
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070217,20,203,46,-33,-94,41,340,340,103,134,1719,1720
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070218,0,203,0,-50,-128,50,310,320,103,130,948,1027
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070219,0,152,0,61,-128,67,220,220,125,165,1509,1548
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070220,0,76,0,50,-39,22,230,230,67,94,19,34
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070221,0,51,0,50,-50,28,220,220,67,98,2359,2359
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070222,0,51,0,33,-11,70,320,320,148,206,1300,1258
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070223,0,25,0,0,-72,30,120,50,72,103,939,2346
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070224,58,25,8,-11,-56,79,110,110,134,174,1409,1828
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070225,135,25,15,39,-22,74,120,100,130,165,129,343
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070226,0,25,8,0,-11,59,220,230,94,116,735,744
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070227,0,25,0,6,-17,24,270,260,58,67,1309,1310
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070228,3,25,0,22,-11,51,120,90,112,156,1810,2143
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070301,71,0,0,67,11,81,110,110,134,170,523,527
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070302,41,25,107,17,-33,94,240,260,165,210,1426,1329
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070303,13,25,38,-28,-56,66,240,230,103,134,223,16
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070304,5,76,8,-11,-72,62,240,280,103,125,2349,1531
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070305,0,25,0,6,-94,72,340,340,116,156,955,1307
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070306,10,0,13,-50,-128,29,110,110,67,80,900,903
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070307,23,25,41,-17,-106,25,350,350,63,67,1822,1822
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070308,0,25,0,11,-128,17,130,150,54,67,1608,2315
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070309,20,0,0,117,-33,37,150,150,58,72,1626,1633
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070310,8,0,0,94,-11,41,300,300,76,103,258,1447
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070311,0,0,0,122,-56,17,320,210,45,54,1756,227
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070312,0,0,0,167,11,47,250,250,103,125,1616,1617
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070313,0,0,0,233,83,63,240,240,116,161,1443,1444
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070314,25,0,0,189,11,60,360,40,98,125,2353,1940
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070315,36,25,36,56,-6,34,30,40,98,112,150,2
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070316,0,0,0,28,-39,44,340,340,98,134,1736,1739
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070317,0,0,0,28,-78,39,330,330,98,139,1615,1616
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070318,0,0,0,67,-72,26,180,190,80,98,2359,2359
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070319,38,0,0,139,11,53,180,180,103,139,315,307
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,20070320,0,0,0,89,-28,51,130,110,94,116,2115,2131
