STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070101,0,-9999,178,67,34,310,320,81,94,1305
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070102,0,-9999,217,33,23,310,310,72,81,1433
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070103,0,-9999,183,44,37,310,320,98,112,1556
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070104,25,-9999,128,56,34,300,300,130,148,1413
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070105,0,-9999,144,33,41,320,330,98,116,946
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070106,0,-9999,178,17,36,360,10,89,148,1936
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070107,0,-9999,228,78,38,10,20,125,183,348
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070108,0,-9999,278,56,15,290,70,54,63,1831
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070109,0,-9999,261,44,10,300,310,40,45,1653
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070110,0,-9999,200,28,24,310,310,76,94,1654
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070111,0,-9999,122,28,32,290,10,81,98,949
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070112,0,-9999,117,-5,33,290,320,89,103,1456
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070113,0,-9999,122,-10,27,320,320,72,81,424
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070114,0,-9999,128,-60,18,60,350,67,76,2015
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070115,0,-9999,172,-43,19,20,10,67,94,1543
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070116,0,-9999,194,-5,30,320,320,98,125,1617
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070117,20,-9999,128,22,26,20,20,76,103,1423
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070118,0,-9999,178,6,32,300,300,98,107,1508
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070119,0,-9999,189,-21,28,310,300,94,116,1456
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070120,0,-9999,167,0,16,310,290,63,76,1322
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070121,0,-9999,183,11,25,310,300,72,81,1539
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070122,0,-9999,189,-16,12,310,300,54,63,1624
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070123,0,-9999,228,-16,13,300,310,67,72,1617
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070124,0,-9999,222,-10,18,310,310,89,98,1554
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070125,0,-9999,206,61,16,310,300,76,89,1451
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070126,3,-9999,167,72,17,300,310,67,81,1539
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070127,287,-9999,133,89,17,160,170,58,67,1950
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070128,48,-9999,156,78,14,250,230,54,63,1458
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070129,13,-9999,167,94,13,300,300,67,81,1658
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070130,0,-9999,150,89,16,310,300,63,72,1513
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070131,0,-9999,150,61,23,310,310,94,103,1505
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070201,0,-9999,150,39,31,310,310,89,103,1725
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070202,0,-9999,161,22,20,320,330,72,81,1537
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070203,3,-9999,211,6,15,310,300,72,76,1457
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070204,3,-9999,256,22,10,300,300,54,63,1604
GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,20070205,0,-9999,244,44,18,310,310,81,98,1722
