STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070101,104,-9999,-9999,89,11,33,180,270,63,72,627,2001
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070102,450,-9999,-9999,133,72,70,190,170,161,206,930,932
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070103,257,-9999,-9999,89,44,55,220,230,107,134,1413,1414
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070104,38,-9999,-9999,56,-11,37,210,230,89,112,306,424
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070105,196,-9999,-9999,61,-6,80,190,200,170,206,2223,2230
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070106,8,-9999,-9999,67,22,53,230,240,112,161,11,11
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070107,236,-9999,-9999,94,44,79,220,230,134,174,1625,1633
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070108,0,-9999,-9999,89,33,37,210,200,80,103,2208,2210
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070109,41,-9999,-9999,106,11,69,200,220,156,201,1422,1404
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070110,66,-9999,-9999,22,-22,53,200,200,107,139,628,630
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070111,0,-9999,-9999,-6,-56,47,360,360,98,112,1445,1414
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20070112,0,-9999,-9999,-6,-72,24,40,40,54,58,2,1
