STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070101,0,0,0,72,-44,34,310,300,94,125,124,125
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070102,0,0,0,89,-67,23,210,200,63,67,1208,1208
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070103,0,0,0,111,-33,46,190,190,98,116,2023,2032
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070104,10,0,0,106,61,61,180,180,107,134,508,509
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070105,0,0,0,111,72,27,330,340,72,94,2327,2328
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070106,0,0,0,89,28,25,350,330,76,103,211,613
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070107,0,0,0,106,-6,41,330,300,98,139,1420,1747
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070108,0,0,0,106,-50,59,250,250,130,170,1239,1239
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070109,0,0,0,61,-44,47,330,320,112,165,509,518
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070110,0,0,0,122,-44,72,160,160,116,148,2222,2239
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070111,0,0,0,144,44,85,190,200,125,170,1449,1720
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070112,544,0,25,139,-6,50,10,360,76,94,1726,1657
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070113,112,25,10,-6,-39,2,10,10,40,40,621,620
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070114,239,25,0,0,-39,31,350,350,40,40,710,709
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070115,0,25,0,-17,-100,60,300,310,76,103,857,1303
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070116,0,25,0,-78,-139,27,30,10,45,58,1545,1818
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070117,0,25,0,-28,-122,36,160,160,76,98,920,1135
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070118,0,25,0,-6,-44,49,270,270,76,98,1518,1518
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070119,0,25,0,28,-89,16,200,200,40,45,1814,1815
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070120,152,25,25,17,-44,44,150,130,116,148,2254,2348
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070121,3,25,0,17,0,41,150,140,112,143,28,13
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070122,0,0,0,6,-28,39,330,330,72,89,648,738
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070123,0,0,0,67,-67,40,270,270,94,112,1507,1508
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070124,0,0,0,56,-17,30,290,310,67,80,1457,1410
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070125,0,0,0,72,-44,18,340,340,72,89,107,107
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070126,0,0,0,139,-28,54,220,220,116,148,1225,1423
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070127,0,0,0,72,-72,64,320,320,112,143,2335,2335
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070128,0,0,0,-33,-100,49,330,330,112,148,27,28
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070129,0,0,0,72,-72,49,350,350,89,112,2349,2349
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070130,0,0,0,-11,-128,52,330,340,103,130,305,307
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070131,20,0,36,-50,-133,43,190,190,76,98,1238,1226
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070201,0,25,0,-17,-61,20,290,290,36,58,2256,2318
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070202,0,25,0,-33,-128,51,350,340,112,130,704,704
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070203,10,25,18,-50,-111,38,240,240,80,103,1916,1948
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070204,0,51,0,-17,-161,22,280,290,80,107,1208,1207
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070205,0,0,0,50,-106,38,160,160,76,98,2327,2328
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070206,0,0,0,194,-17,67,250,240,134,170,1322,1335
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070207,0,0,0,28,-50,52,50,40,80,103,1414,1442
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070208,0,0,0,33,-67,42,40,40,72,80,928,906
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070209,0,0,0,-17,-56,37,50,30,63,112,1031,59
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070210,0,0,0,22,-67,20,360,350,54,58,304,222
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070211,0,0,0,39,-72,34,170,170,67,89,1945,2258
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070212,234,0,0,56,17,39,70,70,72,89,2222,2222
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070213,178,0,0,44,-61,81,350,10,130,156,1328,1345
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070214,5,0,10,-28,-100,53,10,20,94,112,105,108
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070215,0,0,0,-44,-117,44,330,320,80,98,1242,1624
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070216,0,0,0,28,-139,63,180,180,125,143,1432,1421
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070217,0,0,0,39,-50,82,330,320,139,179,508,1219
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070218,0,0,0,122,-72,46,220,220,80,112,1600,1634
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070219,0,0,0,183,33,83,200,210,170,206,1147,1124
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070220,0,0,0,200,11,33,350,240,76,94,1216,1557
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070221,0,0,0,189,-28,26,260,260,76,103,1620,1636
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070222,0,0,0,178,6,34,120,110,89,103,2346,2347
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070223,0,0,0,167,61,103,150,150,148,192,1029,1240
GHCND:USW00013995,SPRINGFIELD REGIONAL AIRPORT MO US,20070224,142,0,0,133,50,85,230,250,161,201,2243,2328
