STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070101,0,0,0,111,17,35,320,310,80,98,13,14
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070102,0,0,0,128,-11,13,10,20,58,72,1313,1320
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070103,0,0,0,133,0,17,140,150,45,58,1349,1345
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070104,218,0,0,139,94,30,260,260,94,103,648,648
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070105,0,0,0,161,83,23,190,190,54,63,1548,1549
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070106,0,0,0,189,72,22,20,10,58,63,1515,1504
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070107,218,0,0,161,56,45,310,280,89,103,1700,1259
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070108,0,0,0,150,6,24,230,260,58,72,1311,1547
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070109,0,0,0,183,28,39,320,320,94,116,1422,1422
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070110,0,0,0,167,0,30,150,130,67,76,1035,1025
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070111,0,0,0,211,56,51,170,160,112,134,1157,1147
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070112,0,0,0,250,167,43,140,150,67,89,232,1954
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070113,239,0,0,261,150,53,170,180,103,125,1244,1246
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070114,582,0,0,217,50,30,300,300,80,98,2103,2104
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070115,404,0,0,50,-6,62,310,310,103,116,1252,1253
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070116,0,0,0,11,-11,55,360,330,89,107,150,1029
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070117,23,0,3,17,0,33,40,20,67,80,234,240
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070118,15,0,0,61,17,18,350,340,40,54,2349,2355
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070119,3,0,0,72,39,41,20,20,72,89,1721,1738
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070120,155,0,0,106,39,47,130,140,98,130,1805,1812
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070121,33,0,0,172,50,18,260,230,58,67,1426,1401
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070122,0,0,0,106,44,30,330,330,72,80,957,926
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070123,0,0,0,89,22,22,300,330,45,54,1518,1502
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070124,0,0,0,117,50,22,360,10,45,54,1351,1345
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070125,0,0,0,161,22,28,10,340,58,72,1435,1621
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070126,0,0,0,172,0,23,150,170,58,67,1451,930
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070127,41,0,0,111,61,23,340,350,98,116,2200,2212
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070128,0,0,0,78,-28,45,290,310,89,103,1445,1414
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070129,0,0,0,94,-44,16,170,190,54,63,1534,952
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070130,0,0,0,128,33,29,20,10,72,89,1122,1126
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070131,10,0,0,50,0,38,100,90,67,89,758,1549
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070201,53,0,0,56,22,33,320,320,63,76,1755,1755
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070202,0,0,0,78,0,32,360,10,67,76,416,417
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070203,0,0,0,111,-50,28,170,180,63,94,1451,1430
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070204,0,0,0,172,11,15,290,190,45,63,10,1137
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070205,0,0,0,178,17,26,170,160,45,67,1505,1528
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070206,0,0,0,211,61,42,240,240,89,103,1417,1129
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070207,0,0,0,228,94,26,170,180,72,80,1346,1346
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070208,18,0,0,144,44,42,30,30,67,76,1004,1005
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070209,10,0,0,44,22,36,20,30,58,67,2236,2242
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070210,0,0,0,94,11,29,30,20,63,67,1609,358
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070211,0,0,0,139,0,26,120,120,54,63,1558,1558
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070212,340,0,0,178,100,37,150,130,80,112,1851,1115
GHCND:USW00013957,SHREVEPORT REGIONAL AIRPORT LA US,20070213,0,0,0,167,28,77,310,300,116,148,1236,1411
