STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023293,SAN JOSE CA US,20070101,0,-9999,-9999,172,39,21,290,320,63,76,1410,1448
GHCND:USW00023293,SAN JOSE CA US,20070102,0,-9999,-9999,172,44,13,350,280,36,45,1752,1124
GHCND:USW00023293,SAN JOSE CA US,20070103,0,-9999,-9999,178,39,17,140,10,45,63,1300,2316
GHCND:USW00023293,SAN JOSE CA US,20070104,43,-9999,-9999,133,56,60,300,350,116,139,2102,1723
GHCND:USW00023293,SAN JOSE CA US,20070105,0,-9999,-9999,128,56,69,320,320,116,134,1536,1510
GHCND:USW00023293,SAN JOSE CA US,20070106,0,-9999,-9999,133,6,28,320,360,72,80,1329,1318
GHCND:USW00023293,SAN JOSE CA US,20070107,0,-9999,-9999,167,22,24,320,320,67,89,1226,1504
GHCND:USW00023293,SAN JOSE CA US,20070108,0,-9999,-9999,206,44,30,320,340,80,98,1323,1401
GHCND:USW00023293,SAN JOSE CA US,20070109,0,-9999,-9999,189,28,12,340,20,31,40,1556,1604
GHCND:USW00023293,SAN JOSE CA US,20070110,0,-9999,-9999,144,11,27,300,300,103,112,1604,1605
GHCND:USW00023293,SAN JOSE CA US,20070111,0,-9999,-9999,106,22,34,300,330,72,89,1408,1710
GHCND:USW00023293,SAN JOSE CA US,20070112,0,-9999,-9999,89,0,43,350,20,103,134,1217,1102
GHCND:USW00023293,SAN JOSE CA US,20070113,0,-9999,-9999,100,-22,23,340,350,67,80,1224,1225
GHCND:USW00023293,SAN JOSE CA US,20070114,0,-9999,-9999,100,-28,33,40,20,103,116,1715,1715
GHCND:USW00023293,SAN JOSE CA US,20070115,0,-9999,-9999,122,-22,16,320,10,45,58,1324,1524
GHCND:USW00023293,SAN JOSE CA US,20070116,38,-9999,-9999,117,-28,22,320,350,63,72,1622,1408
GHCND:USW00023293,SAN JOSE CA US,20070117,0,-9999,-9999,144,22,25,330,330,67,80,622,623
GHCND:USW00023293,SAN JOSE CA US,20070118,0,-9999,-9999,161,0,17,300,310,45,58,1456,1510
GHCND:USW00023293,SAN JOSE CA US,20070119,0,-9999,-9999,161,6,16,330,320,58,63,1714,1638
GHCND:USW00023293,SAN JOSE CA US,20070120,0,-9999,-9999,161,11,20,330,330,72,76,1549,1530
GHCND:USW00023293,SAN JOSE CA US,20070121,0,-9999,-9999,183,17,38,30,30,107,134,1549,1549
GHCND:USW00023293,SAN JOSE CA US,20070122,0,-9999,-9999,161,6,17,330,30,45,54,1255,1907
GHCND:USW00023293,SAN JOSE CA US,20070123,0,-9999,-9999,161,11,15,200,10,31,54,1356,2052
GHCND:USW00023293,SAN JOSE CA US,20070124,0,-9999,-9999,178,17,10,340,10,40,45,1543,1503
GHCND:USW00023293,SAN JOSE CA US,20070125,0,-9999,-9999,144,28,16,330,340,40,54,1901,1919
