STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070101,0,-9999,-9999,200,56,50,20,20,94,112,932,943
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070102,0,-9999,-9999,228,28,13,290,290,67,72,1437,1438
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070103,0,-9999,-9999,172,44,27,300,300,80,98,1436,1438
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070104,13,-9999,-9999,150,61,35,300,300,112,134,1320,1321
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070105,0,-9999,-9999,150,44,42,40,30,94,112,1605,1607
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070106,0,-9999,-9999,167,33,56,30,40,107,125,1918,1823
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070107,0,-9999,-9999,233,67,51,10,20,112,143,431,425
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070108,0,-9999,-9999,283,33,15,320,320,45,54,1506,1506
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070109,0,-9999,-9999,272,56,13,320,260,54,58,1253,1516
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070110,0,-9999,-9999,217,50,27,310,310,76,89,1403,1404
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070111,0,-9999,-9999,133,11,42,290,300,98,107,1645,1611
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070112,0,-9999,-9999,122,-22,31,290,280,89,98,1443,1446
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070113,0,-9999,-9999,128,-39,23,280,280,76,89,1542,1543
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070114,0,-9999,-9999,128,-50,21,290,290,80,94,1510,1511
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070115,0,-9999,-9999,189,-39,27,40,40,94,112,2305,2306
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070116,0,-9999,-9999,178,-28,28,290,290,80,98,1618,1618
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070117,20,-9999,-9999,150,28,29,360,30,80,98,1500,1434
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070118,0,-9999,-9999,172,0,27,290,290,94,103,1401,1401
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070119,0,-9999,-9999,183,-11,27,300,310,80,98,1529,1311
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070120,0,-9999,-9999,183,11,17,310,310,67,76,1347,1409
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070121,0,-9999,-9999,183,11,25,290,300,67,80,1248,1410
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070122,0,-9999,-9999,200,-6,17,290,290,54,63,1407,1410
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070123,0,-9999,-9999,228,0,18,310,300,54,63,1330,1535
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070124,0,-9999,-9999,206,17,20,310,300,58,67,1608,1621
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070125,0,-9999,-9999,194,33,14,300,290,76,89,1425,1425
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070126,0,-9999,-9999,178,44,22,300,310,63,76,1621,1618
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070127,79,-9999,-9999,178,89,34,150,150,80,98,1344,1344
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070128,69,-9999,-9999,178,89,23,180,140,72,94,1459,1557
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070129,23,-9999,-9999,167,100,10,310,320,58,63,1648,1644
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070130,0,-9999,-9999,161,100,14,320,300,63,72,1542,1650
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070131,0,-9999,-9999,150,83,27,290,290,80,98,1507,1507
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070201,0,-9999,-9999,161,33,31,290,290,98,112,1252,1309
GHCND:USW00023273,SANTA MARIA PUBLIC AIRPORT CA US,20070202,0,-9999,-9999,183,22,13,300,280,72,80,1420,1532
