STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT01,WT02,WT08,WT03,WT10
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070101,0,-9999,211,83,19,60,70,81,107,2300,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070102,0,-9999,244,117,28,60,70,94,116,518,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070103,0,-9999,200,100,22,210,200,67,72,1506,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070104,3,-9999,161,106,31,250,250,67,103,2132,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070105,0,-9999,178,83,59,50,60,130,174,1207,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070106,0,-9999,194,61,26,40,60,112,157,31,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070107,0,-9999,272,67,27,50,60,112,157,1414,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070108,0,-9999,306,122,41,60,50,98,125,1115,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070109,0,-9999,283,100,10,210,210,54,58,1505,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070110,0,-9999,206,89,13,190,200,76,89,1528,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070111,0,-9999,156,111,33,180,180,76,94,1311,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070112,0,-9999,133,72,26,230,250,67,89,1557,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070113,0,-9999,133,39,38,60,80,72,89,1115,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070114,0,-9999,128,6,13,60,60,54,63,2342,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070115,0,-9999,161,33,61,60,60,139,165,900,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070116,0,-9999,178,61,30,30,40,81,107,152,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070117,0,-9999,150,50,24,200,270,67,81,1232,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070118,0,-9999,211,28,37,60,60,94,116,1747,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070119,0,-9999,189,100,32,190,230,63,81,1316,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070120,0,-9999,172,72,28,200,180,72,89,1508,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070121,0,-9999,194,61,47,60,60,112,134,1659,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070122,0,-9999,211,56,26,30,10,89,116,954,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070123,0,-9999,194,56,11,220,220,45,58,1420,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070124,0,-9999,217,56,8,200,200,45,54,1124,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070125,0,-9999,239,67,13,200,240,45,54,1537,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070126,0,-9999,178,67,25,220,210,72,81,1239,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070127,0,-9999,161,106,31,210,200,67,76,1446,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070128,0,-9999,167,78,18,210,220,54,63,1227,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070129,0,-9999,183,100,14,260,240,45,58,1445,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070130,10,-9999,150,111,23,180,190,58,72,1335,1,-9999,1,1,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070131,3,-9999,156,100,17,200,210,54,63,1613,-9999,-9999,-9999,1,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070201,0,-9999,156,94,15,220,200,54,63,1330,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070202,0,-9999,178,61,13,220,230,54,63,1439,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070203,0,-9999,222,61,13,260,270,45,63,1342,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070204,0,-9999,278,56,9,210,200,45,54,1601,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070205,0,-9999,289,94,13,210,230,63,72,1350,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070206,0,-9999,217,100,13,220,200,54,63,1114,1,1,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070207,0,-9999,183,94,18,250,240,54,67,1536,1,1,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070208,0,-9999,194,72,16,280,120,45,58,2056,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070209,0,-9999,200,100,12,220,260,54,63,1536,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070210,0,-9999,200,106,19,220,220,58,67,1400,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070211,58,-9999,183,128,25,230,220,58,76,1401,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070212,0,-9999,172,111,26,190,200,72,89,1330,-9999,-9999,-9999,-9999,1
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070213,0,-9999,172,100,24,230,260,67,81,1654,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070214,0,-9999,183,89,21,210,230,58,72,1224,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070215,0,-9999,206,89,20,210,190,63,76,1406,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070216,0,-9999,272,89,16,220,210,58,63,1734,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070217,0,-9999,317,122,28,60,70,81,112,1006,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070218,15,-9999,228,128,36,190,180,94,112,1621,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070219,8,-9999,172,111,34,120,110,67,89,811,1,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070220,0,-9999,172,94,21,190,210,63,81,1305,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070221,0,-9999,183,89,18,210,220,58,67,1411,-9999,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070222,51,-9999,167,117,31,180,210,76,94,1518,1,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070223,0,-9999,156,78,28,260,230,76,112,1320,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070224,0,-9999,172,56,17,200,200,54,67,1247,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070225,0,-9999,167,72,-9999,230,220,67,89,1554,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070226,0,-9999,167,139,-9999,210,210,63,81,1315,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070227,48,-9999,161,94,38,220,240,72,103,1240,1,-9999,1,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070228,13,-9999,150,83,25,230,240,72,98,1416,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070301,0,-9999,161,50,24,220,210,58,76,1417,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070302,0,-9999,239,61,26,20,50,98,130,1221,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070303,0,-9999,261,89,25,40,60,81,112,1328,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070304,0,-9999,267,83,18,190,220,63,72,1519,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070305,0,-9999,244,117,17,200,200,63,72,1237,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070306,0,-9999,283,133,17,200,200,67,76,1230,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093184,SANTA ANA JOHN WAYNE AIRPORT CA US,20070307,0,-9999,228,133,22,230,250,67,81,1532,-9999,-9999,-9999,-9999,-9999
