STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070101,0,0,0,39,-17,51,250,250,130,170,26,2353
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070102,0,0,0,72,-39,30,180,180,80,112,2024,2012
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070103,0,0,0,83,-6,54,200,180,89,112,1825,1321
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070104,84,0,0,94,39,69,180,190,112,143,1657,1634
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070105,23,0,0,106,72,21,300,310,67,76,2347,2345
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070106,0,0,0,72,6,36,280,280,72,94,845,845
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070107,0,0,0,78,11,41,290,270,116,170,2339,2346
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070108,3,0,0,67,-22,58,260,260,139,174,2108,2109
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070109,0,0,0,50,-33,60,300,300,112,161,1135,1333
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070110,0,0,0,44,-67,57,170,170,130,179,1958,1928
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070111,0,0,0,111,22,97,180,180,134,170,435,325
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070112,114,0,0,117,-11,46,190,190,103,134,49,2353
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070113,81,0,0,11,-11,36,350,60,63,80,1522,646
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070114,208,0,0,28,6,42,70,70,76,94,1929,1905
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070115,0,0,0,17,-83,64,290,300,94,125,1909,2200
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070116,0,0,0,-56,-128,41,280,280,80,103,314,315
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070117,0,0,0,-22,-89,35,170,180,67,89,1213,1300
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070118,0,0,0,11,-22,64,290,270,130,179,1846,1911
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070119,0,0,0,33,-67,47,290,290,98,125,134,134
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070120,0,0,0,-6,-78,24,100,100,58,67,2313,2313
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070121,79,102,89,17,-22,36,120,130,80,107,643,643
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070122,0,76,0,6,-22,44,250,240,76,98,2319,2324
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070123,28,51,20,6,-44,46,250,250,98,116,516,436
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070124,0,76,0,0,-44,37,330,320,76,103,2201,2203
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070125,0,76,0,-11,-94,30,320,310,89,125,106,107
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070126,0,51,0,100,-67,53,240,240,89,125,2113,2129
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070127,0,0,0,33,-106,68,320,310,116,161,1418,1326
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070128,0,0,0,-72,-144,65,290,290,116,174,1135,1158
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070129,5,0,8,28,-106,55,300,300,116,156,2140,2139
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070130,0,0,0,-61,-133,62,290,290,107,134,1355,1356
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070131,0,0,0,-44,-150,34,190,200,89,103,1945,1856
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070201,0,0,0,-11,-72,30,250,260,58,76,1420,1421
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070202,0,0,0,-72,-133,57,290,260,107,139,1150,931
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070203,0,0,0,-94,-167,66,280,280,116,156,1222,1255
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070204,0,0,0,-72,-189,47,290,280,103,143,1354,1355
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070205,0,0,0,-111,-194,20,330,340,67,94,139,203
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070206,23,0,25,-56,-133,43,130,130,76,94,711,749
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070207,0,25,0,-89,-156,29,350,330,72,125,1810,22
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070208,0,25,0,-67,-133,42,320,320,72,94,826,336
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070209,0,25,0,-44,-117,34,300,300,67,89,2218,2227
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070210,0,0,0,-39,-139,31,330,310,76,103,51,209
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070211,0,0,0,50,-78,28,190,200,58,72,1559,1622
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070212,56,0,71,50,-11,38,60,60,80,103,2333,2328
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070213,236,152,213,-11,-100,98,60,40,156,197,850,856
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070214,0,279,0,-72,-172,46,350,330,76,103,49,2359
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070215,0,279,0,-106,-217,30,290,300,67,89,1519,1633
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070216,8,254,10,-39,-239,60,170,180,125,156,1513,1532
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070217,13,279,18,-28,-83,65,330,320,116,156,1500,1451
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070218,0,254,0,-17,-139,43,160,160,94,107,2351,2334
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070219,0,203,0,72,-50,76,190,200,134,174,1052,922
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070220,0,178,0,61,-39,10,10,10,58,67,1427,1427
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070221,0,127,0,94,-56,24,300,300,103,134,2313,2314
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070222,0,76,0,72,-11,55,300,300,103,134,856,907
GHCND:USW00093822,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,20070223,0,25,0,44,-17,56,110,110,94,107,2310,1518
