STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070101,0,0,0,100,-17,33,320,320,80,94,146,138
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070102,0,0,0,106,-28,17,140,80,31,36,1521,1440
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070103,0,0,0,117,11,31,210,210,76,89,1057,1057
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070104,8,0,0,167,67,41,160,170,76,94,1403,1404
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070105,0,0,0,189,61,48,340,340,116,134,1901,1900
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070106,0,0,0,94,22,41,360,350,94,103,349,14
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070107,0,0,0,128,-17,55,340,340,134,161,1522,1523
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070108,0,0,0,139,-39,37,230,220,89,103,1041,1042
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070109,0,0,0,144,0,38,30,50,76,89,1218,1207
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070110,0,0,0,194,6,75,190,190,139,174,1255,1253
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070111,0,0,0,206,111,80,200,200,130,148,1404,648
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070112,183,0,0,161,-33,44,20,20,116,139,1101,1102
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070113,13,0,8,-22,-39,0,-9999,-9999,-9999,-9999,-9999,9999
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070114,15,0,0,-11,-33,0,360,360,0,0,2359,2359
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070115,0,0,0,-17,-61,16,350,350,72,72,1058,1057
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070116,0,0,0,-6,-50,15,340,340,27,27,419,418
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070117,0,0,0,11,-33,27,180,180,54,54,1411,1410
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070118,0,0,0,61,-6,35,20,10,76,94,1439,1520
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070119,41,0,0,50,11,30,50,40,58,63,1336,1330
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070120,287,0,0,33,17,51,120,140,89,98,1505,1502
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070121,0,0,0,89,-11,57,310,310,94,107,1047,1011
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070122,0,0,0,67,-11,46,360,350,94,112,213,408
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070123,0,0,0,106,-44,34,210,290,63,67,1334,914
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070124,0,0,0,122,17,36,310,340,63,72,456,240
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070125,0,0,0,156,-6,28,320,320,45,54,655,657
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070126,0,0,0,183,6,48,210,220,89,112,1441,1442
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070127,10,0,0,111,-17,60,10,10,139,161,1309,1304
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070128,0,0,0,67,-39,31,340,190,58,58,2346,110
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070129,0,0,0,106,-11,41,180,180,72,80,1202,1229
GHCND:USW00013966,WICHITA FALLS MUNICIPAL AIRPORT TX US,20070130,0,0,0,67,-22,53,10,10,94,112,1513,1549
