STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070101,124,-9999,239,183,38,180,170,76,103,1239
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070102,0,-9999,239,172,34,80,80,63,72,2124
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070103,0,-9999,278,167,26,80,70,63,76,155
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070104,0,-9999,272,194,29,140,140,67,81,1123
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070105,0,-9999,289,200,53,150,190,107,125,1621
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070106,0,-9999,272,200,28,210,200,67,81,1254
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070107,0,-9999,283,167,38,190,190,81,107,1500
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070108,0,-9999,256,150,42,310,320,89,107,1521
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070109,0,-9999,189,94,32,10,350,89,112,1012
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070110,0,-9999,194,89,43,60,20,72,98,454
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070111,0,-9999,250,100,42,120,130,81,103,1440
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070112,0,-9999,261,133,43,100,110,103,116,1156
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070113,0,-9999,272,144,36,110,120,81,94,1105
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070114,0,-9999,278,161,42,120,90,76,94,1045
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070115,0,-9999,267,144,26,130,140,63,72,1033
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070116,0,-9999,261,156,19,240,230,58,63,1256
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070117,0,-9999,256,167,50,70,60,76,94,1030
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070118,0,-9999,233,161,30,360,260,63,76,1535
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070119,0,-9999,233,150,14,10,20,54,63,957
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070120,0,-9999,244,133,33,80,80,67,76,2358
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070121,0,-9999,283,128,49,130,140,89,107,1041
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070122,33,-9999,267,189,45,170,180,98,116,1117
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070123,8,-9999,233,178,24,330,340,58,72,1343
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070124,112,-9999,206,122,30,30,30,63,81,1436
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070125,71,-9999,167,94,43,350,30,89,107,352
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070126,0,-9999,183,61,34,40,70,63,76,1032
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070127,0,-9999,233,89,43,170,170,94,107,2238
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070128,86,-9999,206,139,60,300,300,125,143,753
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070129,0,-9999,150,67,34,330,320,76,103,302
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070130,0,-9999,150,33,12,360,10,45,58,1258
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070131,0,-9999,211,94,37,40,40,67,81,1124
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070201,3,-9999,261,133,80,170,160,139,179,1316
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070202,124,-9999,228,172,36,190,200,94,125,402
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070203,10,-9999,178,133,28,80,80,54,63,2355
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070204,0,-9999,178,106,47,40,50,72,89,2214
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070205,0,-9999,150,106,38,20,50,67,98,1008
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070206,0,-9999,211,89,33,30,30,72,81,943
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070207,0,-9999,228,78,17,330,10,58,997,2303
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070208,0,-9999,233,89,18,300,20,54,331,436
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070209,0,-9999,233,89,21,280,280,63,72,1425
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070210,0,-9999,228,83,26,290,300,72,81,1330
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070211,0,-9999,222,94,34,70,70,63,81,2254
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070212,84,-9999,206,161,43,100,100,81,94,1406
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070213,127,-9999,233,150,29,190,190,58,76,1707
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070214,3,-9999,228,133,42,300,290,94,107,1430
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070215,0,-9999,156,122,30,310,320,63,76,1506
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070216,3,-9999,122,67,47,310,330,103,125,1623
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070217,0,-9999,150,17,23,290,280,63,72,2144
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070218,36,-9999,172,78,66,300,300,148,179,328
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070219,0,-9999,183,22,25,70,80,63,76,1440
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070220,0,-9999,211,44,17,210,220,45,58,1552
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070221,0,-9999,233,100,23,210,210,81,94,1348
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070222,0,-9999,233,133,34,310,320,76,89,1303
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070223,3,-9999,267,100,26,40,40,63,81,920
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070224,0,-9999,267,122,47,110,130,94,107,1056
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070225,0,-9999,261,156,62,190,190,112,139,1159
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070226,15,-9999,239,194,39,190,200,63,81,1407
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070227,8,-9999,261,172,-9999,280,250,63,72,1356
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070228,0,-9999,294,144,36,100,100,72,89,2107
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070301,0,-9999,289,194,70,160,170,125,157,1429
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070302,0,-9999,272,217,69,180,190,107,130,1252
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070303,8,-9999,222,139,49,360,10,76,98,1559
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070304,3,-9999,233,128,37,320,310,81,98,1530
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070305,0,-9999,200,94,41,360,360,72,103,1247
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070306,0,-9999,244,61,36,70,70,72,89,1045
GHCND:USW00012871,SARASOTA BRADENTON AIRPORT FL US,20070307,0,-9999,239,111,32,290,110,58,81,1110
