STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,WESD,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070101,0,0,0,67,-11,0,53,270,260,125,161,10,214,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070102,0,0,0,100,-28,0,20,160,170,58,80,2104,2124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070103,0,0,0,100,-17,0,31,160,180,72,98,1827,1645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070104,64,0,0,106,50,0,45,170,170,89,116,1431,1432,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070105,0,0,0,111,94,0,22,250,250,54,67,2205,2214,-9999,1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070106,0,0,0,94,39,0,30,320,310,76,98,857,211,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070107,15,0,0,78,11,0,43,280,280,125,161,1948,2021,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070108,0,0,0,100,-17,0,63,220,230,116,148,1351,1352,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070109,3,0,0,72,-17,0,62,280,280,139,174,406,407,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070110,0,0,0,83,-44,0,54,150,150,103,143,1657,1658,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070111,0,0,0,128,39,0,67,190,180,107,161,1503,1813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070112,363,0,0,150,-6,0,43,320,210,72,98,1016,1710,-9999,-9999,-9999,1,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999
GHCND:USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US,20070113,74,0,0,6,-17,0,32,340,360,63,76,513,505,-9999,1,-9999,1,-9999,1,1,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
