STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070101,0,51,0,-11,-83,40,120,100,45,54,2154,2336
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070102,0,51,0,28,-89,44,190,190,76,94,1516,1518
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070103,0,0,0,56,-28,56,190,190,94,112,2253,2247
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070104,0,0,0,100,11,46,210,200,103,116,703,704
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070105,0,0,0,33,-11,41,320,320,67,76,1631,1502
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070106,0,0,0,61,-50,53,220,220,125,139,1406,1407
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070107,0,0,0,22,-44,68,310,310,156,183,1201,1202
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070108,0,0,0,89,-44,77,330,330,183,241,2051,2055
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070109,0,0,0,22,-78,74,320,320,179,215,246,246
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070110,0,0,0,94,-50,74,210,210,116,143,2145,2146
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070111,0,0,0,39,-139,71,330,330,139,161,2328,2339
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070112,0,0,0,-111,-167,80,330,330,125,148,417,422
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070113,0,0,5,-106,-167,34,10,20,72,80,203,204
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070114,76,0,157,-78,-117,53,350,10,80,103,1854,2241
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070115,10,178,28,-117,-256,70,330,320,107,130,821,634
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070116,0,178,0,-139,-283,34,130,130,63,67,2155,2200
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070117,0,152,0,-33,-178,57,170,160,89,103,2347,2348
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070118,8,127,15,-17,-133,58,310,320,156,179,1343,1245
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070119,0,127,0,-22,-178,14,110,110,36,36,2359,2359
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070120,13,127,23,-11,-161,45,150,140,72,80,2118,1242
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070121,91,203,135,-17,-61,46,310,330,94,107,1839,1901
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070122,0,229,0,-50,-161,43,320,300,80,89,642,140
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070123,13,178,15,11,-161,31,330,320,63,72,1518,1520
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070124,0,178,0,17,-117,39,310,320,94,107,708,602
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070125,0,152,0,-33,-122,25,160,150,54,58,1115,1133
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070126,0,152,0,56,-78,70,320,310,148,179,1453,1456
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070127,0,127,0,-50,-161,101,320,320,197,232,1136,1137
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070128,0,127,0,-100,-222,42,320,320,103,125,30,4
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070129,3,127,3,-28,-172,80,320,320,174,201,1136,1137
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070130,0,127,0,-128,-206,62,320,320,125,143,908,909
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070131,8,102,15,-39,-206,58,320,330,130,139,1948,1927
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070201,0,102,8,-44,-211,47,320,340,156,179,2058,1816
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070202,0,76,0,-89,-200,64,330,340,134,156,2200,2101
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070203,0,76,0,-167,-250,47,310,320,107,130,439,439
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070204,0,76,0,-150,-267,39,330,330,98,112,1148,1148
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070205,0,76,0,-122,-161,47,130,130,67,76,2350,2351
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070206,3,76,3,-56,-133,51,330,320,107,116,1508,1509
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070207,0,76,0,-106,-144,33,330,330,72,80,2224,2358
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070208,25,76,41,-100,-128,29,330,330,76,80,43,42
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070209,5,102,8,-111,-183,35,330,310,67,72,1843,1447
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070210,3,102,5,-78,-233,23,160,160,54,58,2012,2012
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070211,0,102,0,6,-78,38,200,190,76,89,1026,1030
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070212,56,76,76,-6,-89,56,40,30,94,116,2134,2042
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070213,28,152,69,-89,-211,72,350,20,94,116,210,1216
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070214,0,178,0,-161,-244,51,330,320,76,80,2046,138
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070215,0,178,0,-156,-233,40,190,190,67,72,2300,2300
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070216,36,178,30,11,-206,64,350,350,183,215,1946,1948
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070217,0,203,0,-22,-72,60,350,350,170,197,144,145
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070218,0,178,0,33,-117,43,190,190,76,98,2343,2334
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070219,0,152,0,44,-28,43,320,320,98,112,1331,1332
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070220,0,127,0,56,-44,19,130,130,40,45,2331,2332
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070221,0,76,0,83,-44,53,320,320,125,148,1534,1536
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070222,0,0,0,39,-33,47,330,320,107,125,16,16
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070223,0,0,0,83,-6,91,130,130,134,161,1127,1018
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070224,262,0,157,33,-17,73,90,90,148,174,1133,1133
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070225,61,254,107,-17,-39,85,320,320,130,156,1543,1529
GHCND:USW00014943,SIOUX CITY GATEWAY AIRPORT IA US,20070226,0,254,0,-22,-83,52,330,290,80,103,1241,1548
