STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070101,15,0,0,133,50,51,180,190,107,139,515,516
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070102,0,0,0,61,-6,65,290,300,134,174,233,231
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070103,0,0,0,100,-39,30,210,210,89,103,1202,1105
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070104,8,0,0,144,-28,30,210,190,72,80,2119,1140
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070105,320,0,0,167,78,31,200,200,94,107,1050,1050
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070106,58,0,0,167,56,58,270,250,165,192,1345,1514
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070107,74,0,0,72,28,41,160,170,107,134,2049,2034
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070108,91,0,0,100,6,73,250,250,161,197,929,930
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070109,3,0,3,28,-17,59,260,260,130,156,57,57
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070110,38,127,269,-11,-50,58,320,270,112,134,20,1452
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070111,3,178,13,33,-83,40,190,190,80,112,1808,2224
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070112,13,25,3,94,11,43,200,210,89,103,532,532
GHCND:USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT NY US,20070113,71,0,0,106,-22,34,300,300,80,94,509,510
