STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070101,23,-9999,-9999,189,83,20,330,330,89,103,813,814
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070102,0,-9999,-9999,117,56,27,70,70,58,72,1038,1146
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070103,0,-9999,-9999,178,89,22,80,70,54,67,654,303
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070104,13,-9999,-9999,206,150,17,150,140,58,67,1529,1530
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070105,290,-9999,-9999,211,122,34,170,190,80,125,1344,1535
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070106,0,-9999,-9999,261,106,13,20,10,63,72,1656,1657
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070107,279,-9999,-9999,239,183,31,230,220,76,89,236,236
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070108,56,-9999,-9999,217,67,43,330,310,103,125,440,510
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070109,0,-9999,-9999,189,11,31,290,310,89,107,1550,1543
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070110,0,-9999,-9999,139,28,25,20,10,67,89,921,942
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070111,0,-9999,-9999,217,6,26,170,180,67,76,1602,1510
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070112,0,-9999,-9999,239,83,21,130,120,63,80,1531,1532
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070113,0,-9999,-9999,244,83,14,170,160,58,76,1419,1420
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070114,0,-9999,-9999,256,100,17,180,180,63,76,1427,1444
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070115,0,-9999,-9999,239,156,23,210,220,58,72,1530,1326
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070116,0,-9999,-9999,189,89,37,340,340,72,94,2018,2019
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070117,0,-9999,-9999,128,67,48,60,70,76,98,1051,1159
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070118,0,-9999,-9999,111,67,26,70,30,58,67,239,223
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070119,0,-9999,-9999,156,94,28,330,330,58,67,1137,1137
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070120,0,-9999,-9999,172,72,29,90,80,63,72,2351,2352
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070121,3,-9999,-9999,194,61,34,170,170,67,98,1410,1410
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070122,13,-9999,-9999,206,117,28,330,330,94,98,925,924
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070123,0,-9999,-9999,128,83,29,320,320,72,80,2357,2357
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070124,0,-9999,-9999,111,78,23,350,340,45,63,1005,1003
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070125,10,-9999,-9999,156,50,33,330,330,89,103,1608,1556
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070126,0,-9999,-9999,156,-22,12,40,340,36,45,433,1224
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070127,102,-9999,-9999,150,-28,12,60,30,58,67,2358,2249
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070128,81,-9999,-9999,144,39,54,310,320,103,116,2221,2221
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070129,0,-9999,-9999,100,-28,22,10,10,63,76,937,930
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070130,0,-9999,-9999,133,-33,16,270,260,63,76,1339,1344
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070131,0,-9999,-9999,144,56,20,30,30,54,67,919,921
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070201,1003,-9999,-9999,189,94,38,310,290,112,143,1728,1729
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070202,18,-9999,-9999,178,89,36,290,290,76,94,1015,938
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070203,0,-9999,-9999,89,39,34,340,340,72,89,1058,731
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070204,0,-9999,-9999,144,28,10,330,320,40,45,1604,1545
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070205,0,-9999,-9999,128,22,18,340,10,58,72,1308,1254
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070206,0,-9999,-9999,167,-28,11,180,180,40,54,1839,1840
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070207,0,-9999,-9999,211,-6,18,270,270,76,103,1450,1039
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070208,0,-9999,-9999,228,39,9,280,290,63,76,1356,1357
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070209,0,-9999,-9999,228,56,17,280,270,72,89,1606,1602
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070210,0,-9999,-9999,156,22,33,330,330,67,80,1534,1557
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070211,0,-9999,-9999,178,-17,11,30,10,54,72,1529,930
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070212,0,-9999,-9999,206,50,16,160,130,63,76,1342,1523
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070213,84,-9999,-9999,211,94,22,340,340,80,98,1555,1556
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070214,0,-9999,-9999,172,6,47,310,320,89,103,1319,1001
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070215,0,-9999,-9999,78,6,30,320,330,58,63,1146,1045
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070216,0,-9999,-9999,83,-39,37,300,300,80,103,1355,1518
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070217,0,-9999,-9999,161,-78,29,290,320,112,148,2334,2314
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070218,0,-9999,-9999,117,-11,51,320,310,107,143,359,446
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070219,0,-9999,-9999,161,-56,14,170,180,58,72,1504,1738
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070220,0,-9999,-9999,200,22,27,210,210,80,103,1400,1401
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070221,3,-9999,-9999,239,83,29,300,300,94,107,1605,1634
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070222,0,-9999,-9999,256,50,21,290,310,89,103,1444,1439
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070223,0,-9999,-9999,250,56,21,40,10,58,80,1432,1027
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070224,0,-9999,-9999,222,33,38,150,150,94,116,1311,1312
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070225,18,-9999,-9999,217,106,37,170,160,94,112,1127,1005
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070226,0,-9999,-9999,256,61,16,240,240,67,76,1453,1534
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070227,0,-9999,-9999,272,83,14,310,320,67,94,1540,1400
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070228,0,-9999,-9999,278,50,32,110,150,76,98,1436,1322
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070301,0,-9999,-9999,228,178,57,200,220,103,134,2300,2358
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070302,198,-9999,-9999,228,83,29,280,280,170,201,138,139
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070303,0,-9999,-9999,217,50,15,320,330,63,76,1524,1525
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070304,0,-9999,-9999,167,39,37,330,310,94,112,923,946
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070305,0,-9999,-9999,178,-22,26,320,330,67,94,1228,1507
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070306,0,-9999,-9999,228,-22,17,30,10,67,89,1153,1331
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070307,0,-9999,-9999,239,17,14,170,200,67,76,1722,1647
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070308,0,-9999,-9999,250,22,12,200,210,54,58,1832,1748
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070309,0,-9999,-9999,250,67,22,150,140,76,98,1512,1601
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070310,0,-9999,-9999,261,117,22,100,100,63,72,153,111
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070311,0,-9999,-9999,278,78,9,80,80,54,63,1428,1429
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070312,0,-9999,-9999,272,83,10,140,140,63,76,1554,1556
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070313,0,-9999,-9999,272,89,18,190,140,63,76,1321,1401
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070314,0,-9999,-9999,244,128,32,190,160,80,103,1630,1631
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070315,30,-9999,-9999,244,117,26,170,170,72,94,1056,1056
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070316,0,-9999,-9999,239,122,42,330,-9999,148,-9999,-9999,1554
GHCND:USW00093805,TALLAHASSEE REGIONAL AIRPORT FL US,20070317,0,-9999,-9999,172,61,43,340,-9999,130,-9999,-9999,1256
