STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070101,0,0,0,94,-22,23,310,310,76,89,28,28
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070102,0,0,0,100,-56,19,180,180,54,63,1439,1441
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070103,0,0,0,128,-6,53,180,180,116,139,2325,2326
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070104,5,0,0,117,78,59,170,170,125,148,109,109
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070105,0,0,0,122,78,40,350,350,98,112,2123,2123
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070106,0,0,0,94,6,23,340,330,80,98,201,201
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070107,0,0,0,117,-6,41,320,320,107,125,1536,1537
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070108,0,0,0,150,-28,39,250,240,94,125,1128,1138
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070109,0,0,0,111,11,40,340,340,98,107,1032,1030
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070110,0,0,0,144,11,66,180,180,125,143,1510,1358
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070111,0,0,0,194,94,91,180,170,148,179,841,1327
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070112,259,0,43,183,-50,55,330,330,103,116,408,407
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070113,53,25,5,-22,-56,49,350,340,76,89,140,15
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070114,89,25,10,-6,-50,45,310,320,67,76,2315,2232
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070115,0,25,0,-33,-78,52,320,340,76,94,1435,1447
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070116,0,25,0,-56,-100,26,350,350,54,63,758,801
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070117,0,25,0,-11,-89,34,180,180,76,89,2256,2256
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070118,0,25,0,44,-17,36,190,190,72,94,57,454
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070119,0,25,0,39,-50,13,180,180,36,40,1910,1910
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070120,132,25,3,17,0,30,130,130,80,107,2126,2132
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070121,0,25,0,50,11,40,170,170,76,98,114,114
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070122,0,25,0,28,-33,35,340,350,67,80,1010,941
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070123,0,0,0,100,-56,30,250,250,63,72,1352,1525
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070124,0,0,0,111,-28,21,320,330,54,58,1620,1616
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070125,0,0,0,106,-33,10,180,170,40,45,2126,2135
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070126,0,0,0,167,11,47,200,200,89,107,1401,1426
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070127,0,0,0,106,-39,54,340,20,103,130,1157,2225
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070128,0,0,0,33,-67,39,340,340,76,94,119,128
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070129,0,0,0,89,-17,30,20,30,67,89,2344,2356
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070130,0,0,0,11,-72,41,350,350,89,112,847,920
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070131,38,0,48,-33,-89,32,140,140,63,72,1352,1252
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070201,0,51,0,-6,-50,18,290,280,54,58,2248,2248
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070202,0,25,0,-17,-72,44,20,20,94,112,545,604
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070203,0,0,0,6,-72,34,20,140,63,76,1253,1902
GHCND:USW00013968,TULSA INTERNATIONAL AIRPORT OK US,20070204,0,0,0,61,-100,21,360,330,54,58,1220,132
