STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070101,15,0,0,89,-21,55,330,320,107,139,1354
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070102,0,0,0,56,-27,30,210,180,63,81,1917
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070103,0,0,0,94,11,43,200,180,67,98,2227
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070104,0,0,0,94,33,42,190,220,81,130,1452
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070105,3,0,0,89,44,25,260,260,67,81,1322
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070106,8,0,0,50,17,37,270,270,89,107,1401
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070107,10,0,10,50,-27,24,160,170,67,98,1237
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070108,18,0,23,11,-21,45,290,280,98,112,605
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070109,0,0,20,-10,-77,66,300,310,116,157,2055
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070110,0,30,5,-10,-77,35,290,290,94,107,24
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070111,5,0,0,61,-10,40,200,200,67,103,1207
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070112,5,0,5,39,-38,29,10,350,67,94,2036
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070113,3,-9999,-9999,-38,-82,9,20,360,36,45,1229
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070114,0,0,0,-21,-55,16,70,50,45,58,2209
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070115,79,30,137,-32,-71,48,40,40,94,116,424
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070116,8,150,36,-55,-149,39,290,290,94,107,1432
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070117,0,130,0,-27,-166,36,230,240,81,107,1407
GHCND:USW00014850,TRAVERSE CITY CHERRY CAPITAL AIRPORT MI US,20070118,3,130,30,-5,-38,30,290,180,58,94,2
