STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070101,0,0,-60,15,120,120,40,58,2359
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070102,0,11,-55,30,140,140,72,81,1914
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070103,8,94,-32,54,240,230,134,170,1330
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070104,43,39,-16,58,280,280,139,161,2332
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070105,0,-16,-71,101,270,280,165,210,323
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070106,0,28,-66,88,270,270,192,241,1205
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070107,0,50,-66,53,200,200,81,103,1010
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070108,0,78,11,58,250,250,103,116,1307
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070109,0,83,-21,28,190,190,89,103,2205
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070110,0,78,-49,64,190,190,125,148,616
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070111,0,-43,-121,67,90,80,112,134,2312
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070112,0,-99,-143,51,90,90,103,112,22
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070113,0,-66,-155,47,270,270,72,89,1150
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070114,0,-77,-171,19,290,230,45,63,134
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070115,0,-55,-143,30,190,200,63,76,915
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070116,0,-49,-155,42,70,60,72,81,1656
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070117,0,-38,-160,53,210,220,94,112,2044
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070118,0,-10,-138,19,200,220,58,63,44
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070119,0,-10,-121,38,110,70,63,72,1305
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070120,0,-10,-99,75,260,260,165,192,1504
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070121,0,0,-71,61,270,270,98,116,33
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070122,0,33,-66,42,200,210,81,94,934
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070123,0,33,-88,27,200,200,54,63,607
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070124,0,44,-93,37,100,60,58,67,1519
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070125,0,72,-82,31,200,90,54,58,109
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070126,0,50,-71,30,210,170,54,63,404
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070127,0,28,-93,62,80,80,134,165,1238
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070128,0,39,-121,24,180,180,54,58,633
GHCND:USW00094178,TWIN FALLS SUN VALLEY REGIONAL AIRPORT ID US,20070129,0,39,-88,26,190,190,58,63,800
