STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070101,0,-9999,-9999,117,6,26,10,340,58,72,1057,1129
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070102,0,-9999,-9999,106,-22,13,10,20,54,63,1406,1340
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070103,0,-9999,-9999,139,-17,16,160,150,67,76,2130,2131
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070104,284,-9999,-9999,128,67,22,280,100,58,89,921,2337
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070105,0,-9999,-9999,122,94,22,300,300,58,67,2,4
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070106,64,-9999,-9999,150,78,23,30,30,54,63,1034,1034
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070107,152,-9999,-9999,144,61,43,300,290,89,112,1517,1545
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070108,0,-9999,-9999,144,-11,33,240,230,72,94,1543,1544
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070109,0,-9999,-9999,139,28,38,320,320,98,116,1146,1146
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070110,0,-9999,-9999,150,-17,38,160,160,76,94,1539,1543
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070111,0,-9999,-9999,183,67,54,190,160,89,112,1325,1348
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070112,5,-9999,-9999,189,156,37,170,180,72,98,2153,2154
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070113,780,-9999,-9999,189,67,29,270,240,72,94,741,744
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070114,653,-9999,-9999,128,28,34,280,280,80,103,1806,1745
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070115,142,-9999,-9999,28,-28,62,300,330,94,112,2028,1126
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070116,0,-9999,-9999,0,-28,38,40,350,58,72,32,2240
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070117,0,-9999,-9999,6,-22,25,50,50,58,67,636,637
GHCND:USW00013977,TEXARKANA WEBB FIELD AR US,20070118,0,-9999,-9999,44,-6,20,170,310,40,45,2302,1015
