STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070101,0,-9999,-9999,106,0,27,360,20,63,76,1218,1357
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070102,0,-9999,-9999,122,-22,15,40,30,45,63,1559,1359
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070103,8,-9999,-9999,128,11,20,130,120,67,76,2233,2204
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070104,343,-9999,-9999,122,78,29,50,40,67,89,314,316
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070105,0,-9999,-9999,161,78,35,180,180,67,76,458,458
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070106,130,-9999,-9999,156,67,34,320,310,67,89,2341,2343
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070107,51,-9999,-9999,144,56,44,300,340,98,112,1806,1658
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070108,0,-9999,-9999,144,-11,21,170,210,45,58,1532,1608
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070109,0,-9999,-9999,167,17,26,10,10,72,94,1504,1308
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070110,0,-9999,-9999,178,11,45,180,170,107,134,1523,1605
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070111,0,-9999,-9999,200,83,69,190,160,130,156,1215,1316
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070112,0,-9999,-9999,222,178,53,170,170,80,103,231,408
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070113,1148,-9999,-9999,194,22,32,250,260,107,134,357,357
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070114,323,-9999,-9999,50,11,35,300,310,76,89,1936,1803
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070115,155,-9999,-9999,11,-28,13,320,310,80,98,333,50
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070116,0,-9999,-9999,-17,-39,26,340,20,63,89,927,1622
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070117,20,-9999,-9999,0,-22,22,10,360,54,67,101,155
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070118,0,-9999,-9999,44,0,20,160,160,54,63,1058,1058
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070119,41,-9999,-9999,56,17,35,40,40,58,76,934,1034
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070120,127,-9999,-9999,67,22,45,110,100,94,107,1447,1448
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070121,0,-9999,-9999,156,33,26,330,330,58,67,2335,2335
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070122,0,-9999,-9999,78,6,37,10,20,80,98,1000,955
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070123,0,-9999,-9999,72,-6,18,360,10,45,58,1538,1538
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070124,0,-9999,-9999,106,33,20,310,310,40,54,1519,1516
GHCND:USW00013972,TYLER POUNDS FIELD TX US,20070125,0,-9999,-9999,161,11,20,320,340,58,67,1537,1523
