STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070101,15,-9999,-9999,200,106,22,300,310,67,89,1012
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070102,0,-9999,-9999,117,50,31,50,20,58,76,408
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070103,0,-9999,-9999,194,89,23,70,80,40,54,830
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070104,0,-9999,-9999,233,133,11,170,140,40,54,1434
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070105,272,-9999,-9999,233,144,38,190,200,89,107,1734
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070106,0,-9999,-9999,244,111,10,360,10,58,67,1557
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070107,56,-9999,-9999,250,178,24,190,180,72,94,1613
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070108,20,-9999,-9999,217,56,26,310,300,81,112,558
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070109,0,-9999,-9999,178,11,17,310,300,72,98,1449
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070110,0,-9999,-9999,128,6,21,10,20,72,94,932
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070111,0,-9999,-9999,206,33,30,150,140,63,81,1454
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070112,0,-9999,-9999,233,89,15,180,170,58,76,1304
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070113,0,-9999,-9999,244,94,12,180,160,58,67,1236
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070114,0,-9999,-9999,244,122,20,130,170,54,67,1230
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070115,0,-9999,-9999,244,122,17,180,180,54,67,1351
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070116,0,-9999,-9999,194,100,26,360,10,81,94,2302
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070117,0,-9999,-9999,117,56,51,10,10,94,107,210
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070118,0,-9999,-9999,83,44,30,20,20,58,72,700
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070119,0,-9999,-9999,156,78,20,310,340,45,58,1432
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070120,0,-9999,-9999,156,44,20,20,20,67,81,936
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070121,0,-9999,-9999,222,67,26,180,180,67,89,1242
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070122,69,-9999,-9999,206,117,17,360,10,58,72,1043
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070123,0,-9999,-9999,133,78,17,360,360,45,67,2058
GHCND:USW00093845,VALDOSTA REGIONAL AIRPORT GA US,20070124,0,-9999,-9999,106,67,11,360,360,54,63,1000
