STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070101,0,-9999,78,-38,36,330,290,76,103,154
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070102,0,-9999,94,-71,15,190,190,54,63,1154
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070103,0,-9999,106,-55,32,200,210,72,94,1202
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070104,10,-9999,117,50,38,180,180,81,98,1727
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070105,3,-9999,117,72,31,170,250,72,94,2135
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070106,0,-9999,100,33,28,340,290,72,98,32
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070107,0,-9999,111,-10,38,310,310,103,130,1402
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070108,0,-9999,106,-43,49,240,220,107,134,1141
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070109,0,-9999,72,-49,47,320,320,103,139,927
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070110,0,-9999,111,-55,53,180,180,125,148,1554
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070111,0,-9999,156,78,89,190,160,134,183,944
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070112,363,-9999,156,-5,46,310,320,81,94,1040
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070113,282,-9999,11,-10,4,10,20,45,58,221
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070114,117,-9999,11,-32,0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070115,3,-9999,-27,-93,0,340,340,36,36,2221
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070116,0,-9999,-66,-116,8,340,20,36,54,1621
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070117,0,-9999,-10,-99,34,170,180,63,72,2315
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070118,0,-9999,-5,-55,37,200,210,76,94,650
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070119,0,-9999,56,-77,13,300,310,45,54,1618
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070120,178,-9999,22,-38,34,130,130,76,94,2154
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070121,0,-9999,39,0,34,160,160,67,76,430
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070122,0,-9999,0,-60,34,340,330,67,81,545
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070123,0,-9999,83,-88,30,240,250,72,89,1426
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070124,0,-9999,100,-49,26,310,280,63,72,1625
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070125,0,-9999,100,-60,14,330,340,45,54,45
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070126,0,-9999,139,-55,42,200,210,94,125,1624
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070127,0,-9999,83,-49,55,10,20,107,130,1148
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070128,0,-9999,-10,-99,39,330,340,89,107,225
GHCND:USW00053922,FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT AR US,20070129,0,-9999,61,-88,41,250,240,81,103,1130
