STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070101,0,194,72
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070102,0,200,117
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070103,0,217,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070104,0,228,72
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070105,0,228,100
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070106,0,178,72
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070107,0,167,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070108,0,211,111
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070109,0,228,111
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070110,0,250,78
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070111,0,194,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070112,0,228,100
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070113,0,156,33
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070114,0,100,-39
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070115,0,106,11
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070116,0,122,44
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070117,0,150,6
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070118,0,167,11
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070119,0,161,28
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070120,0,156,44
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070121,0,161,50
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070122,0,156,67
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070123,0,183,50
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070124,0,200,56
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070125,0,217,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070126,0,239,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070127,0,217,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070128,0,222,72
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070129,0,206,72
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070130,0,228,111
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070131,0,206,89
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070201,0,189,61
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070202,0,183,50
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070203,0,200,72
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070204,0,217,78
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070205,0,250,89
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070206,0,283,111
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070207,0,267,94
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070208,0,261,100
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070209,0,272,106
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070210,0,256,122
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070211,0,261,139
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070212,0,250,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070213,0,211,83
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070214,0,206,100
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070215,0,217,72
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070216,0,239,94
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070217,0,272,122
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070218,0,294,139
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070219,0,278,133
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070220,0,194,94
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070221,0,217,94
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070222,0,233,106
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070223,0,250,111
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070224,0,183,50
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070225,0,200,44
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070226,0,228,106
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070227,0,233,100
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070228,0,239,89
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070301,0,178,44
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070302,0,189,56
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070303,0,211,89
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070304,0,228,78
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070305,0,244,111
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070306,0,278,128
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070307,0,283,156
GHCND:USW00023195,YUMA INTERNATIONAL AIRPORT AZ US,20070308,0,300,133
