Port,Latitude,Longtitude
ABE,40.652083,-75.440806
ABI,32.411319,-99.681897
ABQ,35.0402222,-106.6091944
ABY,31.5355,-84.1945
ACK,41.253053,-70.060181
ACT,31.611289,-97.230519
ACV,40.978111,-124.108611
ACY,39.457583,-74.577167
ADK,51.878,-176.646
ADQ,57.749967,-152.493856
AEX,31.3274,-92.549833
AGS,33.369944,-81.9645
AKN,58.676778,-156.649278
ALB,42.748267,-73.801692
ALO,42.5571,-92.4003
AMA,35.219369,-101.705931
ANC,61.174361,-149.996361
APF,26.152619,-81.775294
ASE,39.2232,-106.869
ATL,33.636719,-84.428067
ATW,44.257526,-88.507576
AUS,30.194528,-97.669889
AVL,35.436194,-82.541806
AVP,41.338478,-75.723403
AZO,42.234875,-85.552058
BDL,41.938889,-72.683222
BET,60.779778,-161.838
BFF,41.874,-103.596
BFL,35.433598,-119.05677
BGM,42.208689,-75.979839
BGR,44.807444,-68.828139
BHM,33.562942,-86.75355
BIL,45.80921,-108.537654
BIS,46.775842,-100.757931
BJI,47.510722,-94.934722
BLI,48.792694,-122.537528
BMI,40.477111,-88.915917
BNA,36.124472,-86.678194
BOI,43.564361,-116.222861
BOS,42.364347,-71.005181
BPT,29.950833,-94.020694
BQK,31.2588,-81.4665
BQN,18.494861,-67.129444
BRO,25.906833,-97.425861
BRW,71.285446,-156.766003
BTM,45.954806,-112.497472
BTR,30.533167,-91.149639
BTV,44.471861,-73.153278
BUF,42.940525,-78.732167
BUR,34.200667,-118.358667
BWI,39.175361,-76.668333
BZN,45.777643,-111.160151
CAE,33.938833,-81.119528
CAK,40.9160833,-81.4421944
CDC,37.700967,-113.098847
CDV,60.491778,-145.477556
CEC,41.7802,-124.237
CHA,35.035278,-85.203808
CHO,38.138639,-78.452861
CHS,32.898647,-80.040528
CIC,39.795383,-121.858422
CID,41.884694,-91.710806
CLD,33.0742,-117.1648
CLE,41.411689,-81.849794
CLL,30.588583,-96.363833
CLT,35.214,-80.943139
CMH,39.997972,-82.891889
CMI,40.03925,-88.278056
CMX,47.1684,-88.4891
COD,44.520194,-109.023806
COS,38.805805,-104.700778
CPR,42.908,-106.464417
CRP,27.770361,-97.501222
CRW,38.373147,-81.593189
CSG,32.5163333,-84.9388611
CVG,39.048836,-84.667822
CWA,44.772726,-89.646635
CYS,41.155722,-104.811839
DAB,29.179917,-81.058056
DAL,32.847111,-96.851778
DAY,39.902375,-84.219375
DBQ,42.402,-90.709472
DCA,38.852083,-77.037722
DEN,39.861656,-104.673178
DFW,32.896828,-97.037997
DHN,31.321339,-85.449628
DLG,59.044667,-158.5055
DLH,46.842091,-92.193649
DRO,37.151516,-107.75377
DSM,41.533972,-93.663083
DTW,42.212444,-83.353389
EAU,44.8658,-91.4843
EGE,39.642556,-106.917694
EKO,40.8249,-115.792
ELM,42.159889,-76.891611
ELP,31.80725,-106.377583
ERI,42.082022,-80.176217
EUG,44.124583,-123.211972
EVV,38.036997,-87.532364
EWN,35.072972,-77.042944
EWR,40.6925,-74.168667
EYW,24.556111,-81.759556
FAI,64.815114,-147.856267
