,Origin,Dest,Distance
0,ABE,ATL,1114.09649379
1,ABE,BWI,194.795658451
2,ABE,CLE,544.21489804
3,ABE,CLT,773.520706613
4,ABE,CVG,807.43479598
5,ABE,DTW,682.011717091
6,ABE,JFK,140.260037612
7,ABE,LGA,132.941677785
8,ABE,ORD,1050.724049
9,ABI,DFW,253.412163315
10,ABQ,AMA,446.446226911
11,ABQ,ATL,2038.99339284
12,ABQ,AUS,995.273765294
13,ABQ,BWI,2682.89901509
14,ABQ,CLE,2267.3483007
15,ABQ,CVG,1993.03357814
16,ABQ,DAL,932.371172468
17,ABQ,DEN,562.833049467
18,ABQ,DFW,914.116828645
19,ABQ,ELP,360.2448078
20,ABQ,EWR,2899.69232524
21,ABQ,GJT,484.861696656
22,ABQ,HOU,1221.0107904
23,ABQ,IAD,2614.69689451
24,ABQ,IAH,1196.07652123
25,ABQ,LAS,781.365912045
26,ABQ,LAX,1087.90328091
27,ABQ,LBB,465.38035313
28,ABQ,MAF,534.547267436
29,ABQ,MCI,1154.55942253
30,ABQ,MCO,2495.85563352
31,ABQ,MDW,1801.51043071
32,ABQ,MSP,1577.53635287
33,ABQ,OAK,1427.64733269
34,ABQ,OKC,819.275782943
35,ABQ,ONT,1012.43471133
36,ABQ,ORD,1796.49083418
37,ABQ,PDX,1787.1722822
38,ABQ,PHX,527.826464903
39,ABQ,SAN,1009.52188311
40,ABQ,SAT,979.619257973
41,ABQ,SEA,1897.92130934
42,ABQ,SFO,1439.72909367
43,ABQ,SLC,793.817333712
44,ABQ,SMF,1391.87677675
45,ABQ,STL,1499.9613461
46,ABQ,TPA,2407.27580664
47,ABQ,TUL,977.396261952
48,ABQ,TUS,516.55372219
49,ABY,ATL,234.740850542
50,ACK,EWR,350.586897819
51,ACK,JFK,319.761259098
52,ACT,DFW,144.132425208
53,ACV,CEC,89.8573947395
54,ACV,SFO,402.311358113
55,ACV,SMF,332.702864553
56,ACY,ATL,1091.60918106
57,ACY,BOS,441.152329274
58,ACY,BWI,182.66590989
59,ACY,JFK,148.017734777
60,ACY,LGA,158.54701386
61,ACY,MCO,1373.90409441
62,ACY,MYR,750.831198576
63,ADK,AKN,1467.0946108
64,ADK,ANC,1913.85581301
65,ADQ,ANC,406.133948499
66,AEX,ATL,803.900352699
67,AEX,DFW,457.404625353
68,AEX,IAH,306.028953463
69,AGS,ATL,230.407298463
70,AGS,CLT,225.5644023
71,AGS,LGA,1091.91167326
72,AKN,ADK,1467.0946108
73,AKN,ANC,462.991802831
74,AKN,DLG,114.33662348
75,ALB,ATL,1372.5667275
76,ALB,BWI,464.594098639
77,ALB,CLE,680.557462415
78,ALB,CLT,1040.07872155
79,ALB,CVG,1000.9598536
80,ALB,DCA,511.812947882
81,ALB,DTW,785.394498431
82,ALB,EWR,230.68267387
83,ALB,JFK,234.537503034
84,ALB,LAS,3592.66693493
85,ALB,LGA,219.315359182
86,ALB,MCO,1729.57831966
87,ALB,MDW,1151.96145941
88,ALB,MSP,1572.7490301
89,ALB,ORD,1160.88100778
90,ALB,PHL,341.775574197
91,ALB,TPA,1821.58612529
92,ALO,MSP,266.887898988
93,AMA,ABQ,446.446226911
94,AMA,DAL,519.351764995
95,AMA,DEN,578.797437787
96,AMA,DFW,501.673923402
97,AMA,IAH,833.102200346
98,AMA,LAS,1218.131518
99,ANC,ADK,1913.85581301
100,ANC,ADQ,406.133948499
101,ANC,AKN,462.991802831
102,ANC,ATL,5490.18060319
103,ANC,BET,639.648655729
104,ANC,CDV,256.393014478
105,ANC,CVG,4995.31696217
106,ANC,DEN,3864.27600094
107,ANC,DFW,4890.81279137
108,ANC,DLG,527.275692786
109,ANC,DTW,4793.58726051
110,ANC,FAI,419.077038974
111,ANC,HNL,4475.64153657
112,ANC,IAH,5250.14619661
113,ANC,JNU,916.216385327
114,ANC,KOA,4633.15727437
115,ANC,LAS,3704.65099254
116,ANC,LAX,3771.99859098
117,ANC,MSP,4043.29251435
118,ANC,OGG,4507.75692602
119,ANC,OME,864.803597104
120,ANC,ORD,4569.82823569
121,ANC,OTZ,880.193628745
122,ANC,PDX,2477.54540581
123,ANC,PHX,4102.75160087
124,ANC,SCC,1005.7046866
125,ANC,SEA,2326.37092513
126,ANC,SFO,3244.94825536
127,ANC,SLC,3414.05279937
128,APF,ATL,870.764247815
129,ASE,DEN,201.283309249
130,ASE,LAX,1184.87885422
131,ASE,ORD,1627.08625988
132,ASE,PHX,791.483844405
133,ASE,SFO,1361.27434518
134,ASE,SLC,468.697538186
135,ATL,ABE,1114.09649379
136,ATL,ABQ,2038.99339284
137,ATL,ABY,234.740850542
138,ATL,ACY,1091.60918106
139,ATL,AEX,803.900352699
140,ATL,AGS,230.407298463
141,ATL,ALB,1372.5667275
142,ATL,ANC,5490.18060319
143,ATL,APF,870.764247815
144,ATL,ATW,1232.49810859
145,ATL,AUS,1306.40283189
146,ATL,AVL,264.436361358
147,ATL,AVP,1149.44694127
148,ATL,AZO,961.414317029
149,ATL,BDL,1382.74725221
150,ATL,BGM,1206.35493504
151,ATL,BGR,1824.59705107
152,ATL,BHM,215.5980694
153,ATL,BMI,858.519859442
154,ATL,BNA,344.538523775
155,ATL,BOI,2953.80724531
156,ATL,BOS,1522.0322006
157,ATL,BQK,383.673043488
158,ATL,BQN,2406.1648901
159,ATL,BTR,721.164577527
160,ATL,BTV,1546.36782954
161,ATL,BUF,1147.42339215
162,ATL,BWI,927.813059228
163,ATL,BZN,2637.59664037
164,ATL,CAE,307.679416802
165,ATL,CAK,851.565148635
166,ATL,CHA,171.100193603
167,ATL,CHO,734.988283688
168,ATL,CHS,416.186951235
169,ATL,CID,1117.85293718
170,ATL,CLE,894.092696537
