,Origin,Dest,Origin_lat,Origin_long,Dest_lat,Dest_long,Distance
0,ABE,ATL,40.652083,-75.440806,33.636719,-84.428067,1114.09649379
1,ABE,BWI,40.652083,-75.440806,39.175361,-76.668333,194.795658451
2,ABE,CLE,40.652083,-75.440806,41.411689,-81.849794,544.21489804
3,ABE,CLT,40.652083,-75.440806,35.214,-80.943139,773.520706613
4,ABE,CVG,40.652083,-75.440806,39.048836,-84.667822,807.43479598
5,ABE,DTW,40.652083,-75.440806,42.212444,-83.353389,682.011717091
6,ABE,JFK,40.652083,-75.440806,40.639751,-73.778925,140.260037612
7,ABE,LGA,40.652083,-75.440806,40.777245,-73.872608,132.941677785
8,ABE,ORD,40.652083,-75.440806,41.978603,-87.904842,1050.724049
9,ABI,DFW,32.411319,-99.681897,32.896828,-97.037997,253.412163315
10,ABQ,AMA,35.0402222,-106.6091944,35.219369,-101.705931,446.446226911
11,ABQ,ATL,35.0402222,-106.6091944,33.636719,-84.428067,2038.99339284
12,ABQ,AUS,35.0402222,-106.6091944,30.194528,-97.669889,995.273765294
13,ABQ,BWI,35.0402222,-106.6091944,39.175361,-76.668333,2682.89901509
14,ABQ,CLE,35.0402222,-106.6091944,41.411689,-81.849794,2267.3483007
15,ABQ,CVG,35.0402222,-106.6091944,39.048836,-84.667822,1993.03357814
16,ABQ,DAL,35.0402222,-106.6091944,32.847111,-96.851778,932.371172468
17,ABQ,DEN,35.0402222,-106.6091944,39.861656,-104.673178,562.833049467
18,ABQ,DFW,35.0402222,-106.6091944,32.896828,-97.037997,914.116828645
19,ABQ,ELP,35.0402222,-106.6091944,31.80725,-106.377583,360.2448078
20,ABQ,EWR,35.0402222,-106.6091944,40.6925,-74.168667,2899.69232524
21,ABQ,GJT,35.0402222,-106.6091944,39.122413,-108.526735,484.861696656
22,ABQ,HOU,35.0402222,-106.6091944,29.645419,-95.278889,1221.0107904
23,ABQ,IAD,35.0402222,-106.6091944,38.944533,-77.455811,2614.69689451
24,ABQ,IAH,35.0402222,-106.6091944,29.984433,-95.341442,1196.07652123
25,ABQ,LAS,35.0402222,-106.6091944,36.080056,-115.15225,781.365912045
26,ABQ,LAX,35.0402222,-106.6091944,33.942536,-118.408075,1087.90328091
27,ABQ,LBB,35.0402222,-106.6091944,33.663639,-101.822778,465.38035313
28,ABQ,MAF,35.0402222,-106.6091944,31.942528,-102.201914,534.547267436
29,ABQ,MCI,35.0402222,-106.6091944,39.297606,-94.713905,1154.55942253
30,ABQ,MCO,35.0402222,-106.6091944,28.429394,-81.308994,2495.85563352
31,ABQ,MDW,35.0402222,-106.6091944,41.785972,-87.752417,1801.51043071
32,ABQ,MSP,35.0402222,-106.6091944,44.881956,-93.221767,1577.53635287
33,ABQ,OAK,35.0402222,-106.6091944,37.721278,-122.220722,1427.64733269
34,ABQ,OKC,35.0402222,-106.6091944,35.393089,-97.600733,819.275782943
35,ABQ,ONT,35.0402222,-106.6091944,34.056,-117.601194,1012.43471133
36,ABQ,ORD,35.0402222,-106.6091944,41.978603,-87.904842,1796.49083418
37,ABQ,PDX,35.0402222,-106.6091944,45.588722,-122.5975,1787.1722822
38,ABQ,PHX,35.0402222,-106.6091944,33.434278,-112.011583,527.826464903
39,ABQ,SAN,35.0402222,-106.6091944,32.733556,-117.189667,1009.52188311
40,ABQ,SAT,35.0402222,-106.6091944,29.533694,-98.469778,979.619257973
41,ABQ,SEA,35.0402222,-106.6091944,47.449,-122.309306,1897.92130934
42,ABQ,SFO,35.0402222,-106.6091944,37.618972,-122.374889,1439.72909367
43,ABQ,SLC,35.0402222,-106.6091944,40.788389,-111.977772,793.817333712
44,ABQ,SMF,35.0402222,-106.6091944,38.695417,-121.590778,1391.87677675
45,ABQ,STL,35.0402222,-106.6091944,38.748697,-90.370028,1499.9613461
46,ABQ,TPA,35.0402222,-106.6091944,27.975472,-82.53325,2407.27580664
47,ABQ,TUL,35.0402222,-106.6091944,36.198389,-95.888111,977.396261952
48,ABQ,TUS,35.0402222,-106.6091944,32.116083,-110.941028,516.55372219
49,ABY,ATL,31.5355,-84.1945,33.636719,-84.428067,234.740850542
50,ACK,EWR,41.253053,-70.060181,40.6925,-74.168667,350.586897819
51,ACK,JFK,41.253053,-70.060181,40.639751,-73.778925,319.761259098
52,ACT,DFW,31.611289,-97.230519,32.896828,-97.037997,144.132425208
53,ACV,CEC,40.978111,-124.108611,41.7802,-124.237,89.8573947395
54,ACV,SFO,40.978111,-124.108611,37.618972,-122.374889,402.311358113
55,ACV,SMF,40.978111,-124.108611,38.695417,-121.590778,332.702864553
56,ACY,ATL,39.457583,-74.577167,33.636719,-84.428067,1091.60918106
57,ACY,BOS,39.457583,-74.577167,42.364347,-71.005181,441.152329274
58,ACY,BWI,39.457583,-74.577167,39.175361,-76.668333,182.66590989
59,ACY,JFK,39.457583,-74.577167,40.639751,-73.778925,148.017734777
60,ACY,LGA,39.457583,-74.577167,40.777245,-73.872608,158.54701386
61,ACY,MCO,39.457583,-74.577167,28.429394,-81.308994,1373.90409441
62,ACY,MYR,39.457583,-74.577167,33.67975,-78.928333,750.831198576
63,ADK,AKN,51.878,-176.646,58.676778,-156.649278,1467.0946108
64,ADK,ANC,51.878,-176.646,61.174361,-149.996361,1913.85581301
65,ADQ,ANC,57.749967,-152.493856,61.174361,-149.996361,406.133948499
66,AEX,ATL,31.3274,-92.549833,33.636719,-84.428067,803.900352699
67,AEX,DFW,31.3274,-92.549833,32.896828,-97.037997,457.404625353
68,AEX,IAH,31.3274,-92.549833,29.984433,-95.341442,306.028953463
69,AGS,ATL,33.369944,-81.9645,33.636719,-84.428067,230.407298463
70,AGS,CLT,33.369944,-81.9645,35.214,-80.943139,225.5644023
71,AGS,LGA,33.369944,-81.9645,40.777245,-73.872608,1091.91167326
72,AKN,ADK,58.676778,-156.649278,51.878,-176.646,1467.0946108
73,AKN,ANC,58.676778,-156.649278,61.174361,-149.996361,462.991802831
74,AKN,DLG,58.676778,-156.649278,59.044667,-158.5055,114.33662348
75,ALB,ATL,42.748267,-73.801692,33.636719,-84.428067,1372.5667275
76,ALB,BWI,42.748267,-73.801692,39.175361,-76.668333,464.594098639
77,ALB,CLE,42.748267,-73.801692,41.411689,-81.849794,680.557462415
78,ALB,CLT,42.748267,-73.801692,35.214,-80.943139,1040.07872155
79,ALB,CVG,42.748267,-73.801692,39.048836,-84.667822,1000.9598536
80,ALB,DCA,42.748267,-73.801692,38.852083,-77.037722,511.812947882
81,ALB,DTW,42.748267,-73.801692,42.212444,-83.353389,785.394498431
82,ALB,EWR,42.748267,-73.801692,40.6925,-74.168667,230.68267387
83,ALB,JFK,42.748267,-73.801692,40.639751,-73.778925,234.537503034
84,ALB,LAS,42.748267,-73.801692,36.080056,-115.15225,3592.66693493
