Origin,Dest,IsDelayed
ABE,ATL,380
ABE,BWI,1
ABE,CLE,150
ABE,CLT,52
ABE,CVG,141
ABE,DTW,245
ABE,JFK,3
ABE,LGA,3
ABE,ORD,406
ABI,DFW,573
ABQ,AMA,269
ABQ,ATL,191
ABQ,AUS,43
ABQ,BWI,44
ABQ,CLE,3
ABQ,CVG,108
ABQ,DAL,882
ABQ,DEN,766
ABQ,DFW,614
ABQ,ELP,244
ABQ,EWR,76
ABQ,GJT,0
ABQ,HOU,270
ABQ,IAD,99
ABQ,IAH,460
ABQ,LAS,625
ABQ,LAX,605
ABQ,LBB,137
ABQ,MAF,149
ABQ,MCI,195
ABQ,MCO,205
ABQ,MDW,122
ABQ,MSP,168
ABQ,OAK,282
ABQ,OKC,90
ABQ,ONT,65
ABQ,ORD,182
ABQ,PDX,116
ABQ,PHX,1368
ABQ,SAN,223
ABQ,SAT,46
ABQ,SEA,127
ABQ,SFO,265
ABQ,SLC,516
ABQ,SMF,79
ABQ,STL,128
ABQ,TPA,98
ABQ,TUL,67
ABQ,TUS,165
ABY,ATL,366
ACK,EWR,88
ACK,JFK,72
ACT,DFW,455
ACV,CEC,136
ACV,SFO,910
ACV,SMF,205
ACY,ATL,223
ACY,BOS,2
ACY,BWI,0
ACY,JFK,1
ACY,LGA,11
ACY,MCO,16
ACY,MYR,1
ADK,AKN,17
ADK,ANC,9
ADQ,ANC,237
AEX,ATL,376
AEX,DFW,267
AEX,IAH,159
AGS,ATL,778
AGS,CLT,8
AGS,LGA,3
AKN,ADK,21
AKN,ANC,80
AKN,DLG,17
ALB,ATL,486
ALB,BWI,751
ALB,CLE,413
ALB,CLT,275
ALB,CVG,214
ALB,DCA,93
ALB,DTW,310
ALB,EWR,516
ALB,JFK,27
ALB,LAS,41
ALB,LGA,2
ALB,MCO,204
ALB,MDW,168
ALB,MSP,111
ALB,ORD,652
ALB,PHL,78
ALB,TPA,64
ALO,MSP,50
AMA,ABQ,143
AMA,DAL,633
AMA,DEN,40
AMA,DFW,802
AMA,IAH,149
AMA,LAS,100
ANC,ADK,18
ANC,ADQ,151
ANC,AKN,72
ANC,ATL,72
ANC,BET,267
ANC,CDV,124
ANC,CVG,31
ANC,DEN,133
ANC,DFW,61
ANC,DLG,38
ANC,DTW,8
ANC,FAI,953
ANC,HNL,2
ANC,IAH,127
ANC,JNU,420
ANC,KOA,5
ANC,LAS,128
ANC,LAX,127
ANC,MSP,212
ANC,OGG,31
ANC,OME,93
ANC,ORD,180
ANC,OTZ,237
ANC,PDX,192
ANC,PHX,129
ANC,SCC,135
ANC,SEA,2053
ANC,SFO,74
ANC,SLC,104
APF,ATL,196
ASE,DEN,920
ASE,LAX,111
ASE,ORD,137
ASE,PHX,52
ASE,SFO,50
ASE,SLC,234
ATL,ABE,457
ATL,ABQ,402
ATL,ABY,482
ATL,ACY,272
ATL,AEX,511
ATL,AGS,1066
ATL,ALB,718
ATL,ANC,65
ATL,APF,218
ATL,ATW,428
ATL,AUS,620
ATL,AVL,728
ATL,AVP,378
ATL,AZO,97
ATL,BDL,559
ATL,BGM,72
ATL,BGR,253
ATL,BHM,803
ATL,BMI,545
ATL,BNA,798
ATL,BOI,73
ATL,BOS,1664
ATL,BQK,406
ATL,BQN,2
ATL,BTR,1147
ATL,BTV,277
ATL,BUF,1141
ATL,BWI,1787
ATL,BZN,20
ATL,CAE,1017
ATL,CAK,1159
ATL,CHA,831
ATL,CHO,381
ATL,CHS,1205
ATL,CID,236
ATL,CLE,1002
ATL,CLT,1791
ATL,CMH,298
ATL,COS,203
ATL,CRP,279
ATL,CRW,688
ATL,CSG,593
ATL,CVG,876
ATL,DAB,849
ATL,DAY,1051
ATL,DCA,1974
ATL,DEN,1786
ATL,DFW,3055
ATL,DHN,669
ATL,DSM,563
ATL,DTW,1869
ATL,EGE,25
ATL,ELP,186
ATL,ERI,210
ATL,EVV,587
ATL,EWN,222
ATL,EWR,3291
ATL,EYW,480
ATL,FAY,1017
ATL,FCA,1
ATL,FLL,2424
ATL,FLO,285
ATL,FNT,1125
ATL,FSD,143
ATL,FSM,153
ATL,FWA,416
ATL,GNV,982
ATL,GPT,887
